Production_ID,Partner_ID,Production_Month,Energy_Generated_kWh,Energy_Utilization_Percentage,Energy_Used_kWh,Energy_Supplied_kWh,Performance_Status,Month_Name,Month_Number,Year,Season_factor,Expected_Seasonal_Output
40,4,01-04-2025,895,65,582,351,Normal,Apr,4,2025,0.9,900
41,4,01-05-2025,1025,66,677,308,Normal,May,5,2025,1,1000
42,4,01-06-2025,1122,84,942,152,Normal,Jun,6,2025,1.1,1100
43,4,01-07-2025,1158,82,950,179,Low,Jul,7,2025,1.2,1200
44,4,01-08-2025,1120,87,974,122,Normal,Aug,8,2025,1.1,1100
45,4,01-09-2025,1027,80,822,183,Normal,Sep,9,2025,1,1000
46,4,01-10-2025,936,69,646,314,High,Oct,10,2025,0.9,900
47,4,01-11-2025,695,88,612,124,Normal,Nov,11,2025,0.7,700
48,4,01-12-2025,610,65,397,338,Normal,Dec,12,2025,0.6,600
49,5,01-01-2025,913,71,648,452,Normal,Jan,1,2025,0.6,900
50,5,01-02-2025,1030,87,896,180,Normal,Feb,2,2025,0.7,1050
51,5,01-03-2025,1175,70,823,412,Normal,Mar,3,2025,0.8,1200
52,5,01-04-2025,1366,90,1229,140,Normal,Apr,4,2025,0.9,1350
53,5,01-05-2025,1485,75,1114,347,Normal,May,5,2025,1,1500
54,5,01-06-2025,1649,72,1187,425,Normal,Jun,6,2025,1.1,1650
55,5,01-07-2025,1820,85,1547,234,Normal,Jul,7,2025,1.2,1800
56,5,01-08-2025,1650,77,1271,359,Normal,Aug,8,2025,1.1,1650
57,5,01-09-2025,1553,90,1398,163,High,Sep,9,2025,1,1500
58,5,01-10-2025,1386,89,1234,157,Normal,Oct,10,2025,0.9,1350
59,5,01-11-2025,1044,65,679,577,Normal,Nov,11,2025,0.7,1050
60,5,01-12-2025,896,84,753,247,Normal,Dec,12,2025,0.6,900
61,6,01-01-2025,1106,81,896,340,Normal,Jan,1,2025,0.6,1080
62,6,01-02-2025,1302,64,833,636,High,Feb,2,2025,0.7,1260
63,6,01-03-2025,1393,84,1170,306,Low,Mar,3,2025,0.8,1440
64,6,01-04-2025,1629,73,1189,526,Normal,Apr,4,2025,0.9,1620
65,6,01-05-2025,1777,80,1422,383,Normal,May,5,2025,1,1800
66,6,01-06-2025,2016,68,1371,545,Normal,Jun,6,2025,1.1,1980
67,6,01-07-2025,2233,61,1362,731,High,Jul,7,2025,1.2,2160
68,6,01-08-2025,2041,89,1816,180,High,Aug,8,2025,1.1,1980
69,6,01-09-2025,1712,70,1198,502,Low,Sep,9,2025,1,1800
70,6,01-10-2025,1594,64,1020,674,Normal,Oct,10,2025,0.9,1620
71,6,01-11-2025,1213,77,934,435,Low,Nov,11,2025,0.7,1260
72,6,01-12-2025,1092,80,874,380,Normal,Dec,12,2025,0.6,1080
73,7,01-01-2025,556,66,367,319,Normal,Jan,1,2025,0.6,540
74,7,01-02-2025,609,67,408,303,Low,Feb,2,2025,0.7,630
75,7,01-03-2025,726,64,465,324,Normal,Mar,3,2025,0.8,720
76,7,01-04-2025,809,74,599,214,Normal,Apr,4,2025,0.9,810
77,7,01-05-2025,934,68,635,297,High,May,5,2025,1,900
78,7,01-06-2025,1004,66,663,305,Normal,Jun,6,2025,1.1,990
79,7,01-07-2025,1098,73,802,224,Normal,Jul,7,2025,1.2,1080
80,7,01-08-2025,989,62,613,365,Normal,Aug,8,2025,1.1,990
81,7,01-09-2025,872,63,549,363,Low,Sep,9,2025,1,900
82,7,01-10-2025,817,65,531,288,Normal,Oct,10,2025,0.9,810
83,7,01-11-2025,654,75,491,209,High,Nov,11,2025,0.7,630
84,7,01-12-2025,551,82,452,163,Normal,Dec,12,2025,0.6,540
85,8,01-01-2025,355,69,245,197,Normal,Jan,1,2025,0.6,360
86,8,01-02-2025,400,73,292,166,Low,Feb,2,2025,0.7,420
87,8,01-03-2025,467,73,341,157,Normal,Mar,3,2025,0.8,480
88,8,01-04-2025,517,62,321,221,Low,Apr,4,2025,0.9,540
89,8,01-05-2025,588,90,529,55,Normal,May,5,2025,1,600
90,8,01-06-2025,641,84,538,97,Normal,Jun,6,2025,1.1,660
91,8,01-07-2025,723,65,470,207,Normal,Jul,7,2025,1.2,720
92,8,01-08-2025,664,75,498,144,Normal,Aug,8,2025,1.1,660
93,8,01-09-2025,590,71,419,169,Normal,Sep,9,2025,1,600
94,8,01-10-2025,567,64,363,205,High,Oct,10,2025,0.9,540
95,8,01-11-2025,436,90,392,57,High,Nov,11,2025,0.7,420
96,8,01-12-2025,361,61,220,226,Normal,Dec,12,2025,0.6,360
97,9,01-01-2025,513,67,344,299,Low,Jan,1,2025,0.6,540
98,9,01-02-2025,657,61,401,319,High,Feb,2,2025,0.7,630
99,9,01-03-2025,709,75,532,228,Normal,Mar,3,2025,0.8,720
100,9,01-04-2025,822,78,641,184,Normal,Apr,4,2025,0.9,810
101,9,01-05-2025,902,80,722,174,Normal,May,5,2025,1,900
102,9,01-06-2025,1023,86,880,120,High,Jun,6,2025,1.1,990
103,9,01-07-2025,1085,90,977,82,Normal,Jul,7,2025,1.2,1080
104,9,01-08-2025,1022,86,879,122,High,Aug,8,2025,1.1,990
105,9,01-09-2025,911,60,547,387,Normal,Sep,9,2025,1,900
106,9,01-10-2025,845,77,651,203,High,Oct,10,2025,0.9,810
107,9,01-11-2025,649,74,480,257,High,Nov,11,2025,0.7,630
108,9,01-12-2025,519,78,405,194,Low,Dec,12,2025,0.6,540
109,10,01-01-2025,117,70,82,65,Normal,Jan,1,2025,0.6,120
110,10,01-02-2025,144,66,95,66,Normal,Feb,2,2025,0.7,140
111,10,01-03-2025,153,70,107,54,Low,Mar,3,2025,0.8,160
112,10,01-04-2025,175,90,158,20,Normal,Apr,4,2025,0.9,180
113,10,01-05-2025,208,62,129,79,High,May,5,2025,1,200
114,10,01-06-2025,222,86,191,25,Normal,Jun,6,2025,1.1,220
115,10,01-07-2025,243,72,175,51,Normal,Jul,7,2025,1.2,240
116,10,01-08-2025,230,81,186,38,High,Aug,8,2025,1.1,220
117,10,01-09-2025,199,74,147,56,Normal,Sep,9,2025,1,200
118,10,01-10-2025,189,69,130,56,High,Oct,10,2025,0.9,180
119,10,01-11-2025,136,78,106,43,Normal,Nov,11,2025,0.7,140
120,10,01-12-2025,119,64,76,73,Normal,Dec,12,2025,0.6,120
121,11,01-01-2025,1243,64,796,723,High,Jan,1,2025,0.6,1200
122,11,01-02-2025,1437,73,1049,508,Normal,Feb,2,2025,0.7,1400
123,11,01-03-2025,1557,63,981,802,Normal,Mar,3,2025,0.8,1600
124,11,01-04-2025,1839,63,1159,769,Normal,Apr,4,2025,0.9,1800
125,11,01-05-2025,1913,89,1703,212,Low,May,5,2025,1,2000
126,11,01-06-2025,2116,65,1375,746,Low,Jun,6,2025,1.1,2200
127,11,01-07-2025,2304,79,1820,441,Low,Jul,7,2025,1.2,2400
128,11,01-08-2025,2282,62,1415,738,High,Aug,8,2025,1.1,2200
129,11,01-09-2025,1900,61,1159,814,Low,Sep,9,2025,1,2000
130,11,01-10-2025,1820,63,1147,748,Normal,Oct,10,2025,0.9,1800
131,11,01-11-2025,1429,75,1072,475,Normal,Nov,11,2025,0.7,1400
132,11,01-12-2025,1227,80,982,436,Normal,Dec,12,2025,0.6,1200
133,12,01-01-2025,581,81,471,172,Low,Jan,1,2025,0.6,600
134,12,01-02-2025,672,75,504,241,Low,Feb,2,2025,0.7,700
135,12,01-03-2025,835,66,551,341,High,Mar,3,2025,0.8,800
136,12,01-04-2025,860,65,559,367,Low,Apr,4,2025,0.9,900
137,12,01-05-2025,973,87,847,118,Normal,May,5,2025,1,1000
138,12,01-06-2025,1126,69,777,335,Normal,Jun,6,2025,1.1,1100
139,12,01-07-2025,1166,83,968,174,Normal,Jul,7,2025,1.2,1200
140,12,01-08-2025,1076,82,882,169,Normal,Aug,8,2025,1.1,1100
141,12,01-09-2025,1047,79,827,198,High,Sep,9,2025,1,1000
142,12,01-10-2025,873,83,725,163,Normal,Oct,10,2025,0.9,900
143,12,01-11-2025,689,78,537,233,Normal,Nov,11,2025,0.7,700
144,12,01-12-2025,571,84,480,149,Low,Dec,12,2025,0.6,600
145,13,01-01-2025,547,88,481,117,Normal,Jan,1,2025,0.6,540
146,13,01-02-2025,606,76,461,201,Low,Feb,2,2025,0.7,630
147,13,01-03-2025,731,67,490,286,Normal,Mar,3,2025,0.8,720
148,13,01-04-2025,774,74,573,223,Low,Apr,4,2025,0.9,810
149,13,01-05-2025,903,82,740,174,Normal,May,5,2025,1,900
150,13,01-06-2025,961,86,826,116,Normal,Jun,6,2025,1.1,990
151,13,01-07-2025,1044,75,783,233,Low,Jul,7,2025,1.2,1080
152,13,01-08-2025,999,84,839,135,Normal,Aug,8,2025,1.1,990
153,13,01-09-2025,861,79,680,172,Low,Sep,9,2025,1,900
154,13,01-10-2025,846,88,744,118,High,Oct,10,2025,0.9,810
155,13,01-11-2025,621,86,534,128,Normal,Nov,11,2025,0.7,630
156,13,01-12-2025,523,68,356,273,Low,Dec,12,2025,0.6,540
157,14,01-01-2025,303,68,206,173,Normal,Jan,1,2025,0.6,300
158,14,01-02-2025,335,83,278,80,Low,Feb,2,2025,0.7,350
159,14,01-03-2025,419,80,335,96,High,Mar,3,2025,0.8,400
160,14,01-04-2025,438,61,267,198,Normal,Apr,4,2025,0.9,450
161,14,01-05-2025,488,78,381,119,Normal,May,5,2025,1,500
162,14,01-06-2025,549,84,461,86,Normal,Jun,6,2025,1.1,550
163,14,01-07-2025,619,84,520,82,High,Jul,7,2025,1.2,600
164,14,01-08-2025,523,66,345,172,Low,Aug,8,2025,1.1,550
165,14,01-09-2025,490,87,426,66,Normal,Sep,9,2025,1,500
166,14,01-10-2025,438,90,394,48,Normal,Oct,10,2025,0.9,450
167,14,01-11-2025,352,70,246,142,Normal,Nov,11,2025,0.7,350
168,14,01-12-2025,288,88,253,62,Low,Dec,12,2025,0.6,300
169,15,01-01-2025,124,66,82,65,High,Jan,1,2025,0.6,120
170,15,01-02-2025,134,86,115,29,Low,Feb,2,2025,0.7,140
171,15,01-03-2025,165,72,119,51,High,Mar,3,2025,0.8,160
172,15,01-04-2025,181,81,147,37,Normal,Apr,4,2025,0.9,180
173,15,01-05-2025,210,86,181,28,High,May,5,2025,1,200
174,15,01-06-2025,229,60,137,80,High,Jun,6,2025,1.1,220
175,15,01-07-2025,246,85,209,28,Normal,Jul,7,2025,1.2,240
176,15,01-08-2025,210,85,179,28,Low,Aug,8,2025,1.1,220
177,15,01-09-2025,209,87,182,26,High,Sep,9,2025,1,200
178,15,01-10-2025,182,81,147,40,Normal,Oct,10,2025,0.9,180
179,15,01-11-2025,136,63,86,69,Normal,Nov,11,2025,0.7,140
180,15,01-12-2025,117,69,81,63,Normal,Dec,12,2025,0.6,120
181,16,01-01-2025,803,70,562,429,Normal,Jan,1,2025,0.6,780
182,16,01-02-2025,947,85,805,198,High,Feb,2,2025,0.7,910
183,16,01-03-2025,1022,68,695,416,Normal,Mar,3,2025,0.8,1040
184,16,01-04-2025,1150,74,851,355,Normal,Apr,4,2025,0.9,1170
185,16,01-05-2025,1296,64,829,439,Normal,May,5,2025,1,1300
186,16,01-06-2025,1430,87,1244,183,Normal,Jun,6,2025,1.1,1430
187,16,01-07-2025,1571,73,1147,379,Normal,Jul,7,2025,1.2,1560
188,16,01-08-2025,1477,79,1167,249,High,Aug,8,2025,1.1,1430
189,16,01-09-2025,1242,84,1043,207,Low,Sep,9,2025,1,1300
190,16,01-10-2025,1164,68,792,383,Normal,Oct,10,2025,0.9,1170
191,16,01-11-2025,879,61,536,465,Low,Nov,11,2025,0.7,910
192,16,01-12-2025,799,66,527,449,Normal,Dec,12,2025,0.6,780
193,17,01-01-2025,593,77,457,234,Normal,Jan,1,2025,0.6,600
194,17,01-02-2025,683,65,444,329,Normal,Feb,2,2025,0.7,700
195,17,01-03-2025,794,82,651,191,Normal,Mar,3,2025,0.8,800
196,17,01-04-2025,931,76,708,251,High,Apr,4,2025,0.9,900
197,17,01-05-2025,1044,75,783,234,High,May,5,2025,1,1000
198,17,01-06-2025,1137,76,864,250,High,Jun,6,2025,1.1,1100
199,17,01-07-2025,1223,83,1015,168,Normal,Jul,7,2025,1.2,1200
200,17,01-08-2025,1076,61,656,403,Normal,Aug,8,2025,1.1,1100
201,17,01-09-2025,1038,89,924,110,High,Sep,9,2025,1,1000
202,17,01-10-2025,888,87,773,122,Normal,Oct,10,2025,0.9,900
203,17,01-11-2025,673,83,559,161,Low,Nov,11,2025,0.7,700
204,17,01-12-2025,619,80,495,194,High,Dec,12,2025,0.6,600
205,18,01-01-2025,244,84,205,59,Normal,Jan,1,2025,0.6,240
206,18,01-02-2025,270,72,194,108,Low,Feb,2,2025,0.7,280
207,18,01-03-2025,327,76,249,101,Normal,Mar,3,2025,0.8,320
208,18,01-04-2025,370,90,333,39,Normal,Apr,4,2025,0.9,360
209,18,01-05-2025,385,81,312,78,Low,May,5,2025,1,400
210,18,01-06-2025,424,89,377,47,Low,Jun,6,2025,1.1,440
211,18,01-07-2025,501,63,316,146,High,Jul,7,2025,1.2,480
212,18,01-08-2025,429,86,369,52,Normal,Aug,8,2025,1.1,440
213,18,01-09-2025,392,72,282,111,Normal,Sep,9,2025,1,400
214,18,01-10-2025,344,62,213,146,Low,Oct,10,2025,0.9,360
215,18,01-11-2025,282,76,214,97,Normal,Nov,11,2025,0.7,280
216,18,01-12-2025,241,87,210,53,Normal,Dec,12,2025,0.6,240
217,19,01-01-2025,252,88,222,53,High,Jan,1,2025,0.6,240
218,19,01-02-2025,274,73,200,104,Normal,Feb,2,2025,0.7,280
219,19,01-03-2025,324,76,246,101,Normal,Mar,3,2025,0.8,320
220,19,01-04-2025,356,60,214,159,Normal,Apr,4,2025,0.9,360
221,19,01-05-2025,400,82,328,75,Normal,May,5,2025,1,400
222,19,01-06-2025,445,89,396,41,Normal,Jun,6,2025,1.1,440
223,19,01-07-2025,503,85,428,62,High,Jul,7,2025,1.2,480
224,19,01-08-2025,435,75,326,108,Normal,Aug,8,2025,1.1,440
225,19,01-09-2025,405,68,275,131,Normal,Sep,9,2025,1,400
226,19,01-10-2025,370,73,270,107,Normal,Oct,10,2025,0.9,360
227,19,01-11-2025,282,67,189,125,Normal,Nov,11,2025,0.7,280
228,19,01-12-2025,243,83,202,66,Normal,Dec,12,2025,0.6,240
229,20,01-01-2025,1106,79,874,393,Normal,Jan,1,2025,0.6,1140
230,20,01-02-2025,1332,76,1012,479,Normal,Feb,2,2025,0.7,1330
231,20,01-03-2025,1480,85,1258,257,Normal,Mar,3,2025,0.8,1520
232,20,01-04-2025,1741,81,1410,363,Normal,Apr,4,2025,0.9,1710
233,20,01-05-2025,1956,75,1467,459,Normal,May,5,2025,1,1900
234,20,01-06-2025,2113,60,1268,776,Normal,Jun,6,2025,1.1,2090
235,20,01-07-2025,2272,71,1613,606,Normal,Jul,7,2025,1.2,2280
236,20,01-08-2025,2159,80,1727,418,High,Aug,8,2025,1.1,2090
237,20,01-09-2025,1857,71,1318,524,Normal,Sep,9,2025,1,1900
238,20,01-10-2025,1767,83,1467,338,High,Oct,10,2025,0.9,1710
239,20,01-11-2025,1317,81,1067,368,Normal,Nov,11,2025,0.7,1330
240,20,01-12-2025,1120,62,694,721,Normal,Dec,12,2025,0.6,1140
241,21,01-01-2025,290,89,258,51,Low,Jan,1,2025,0.6,300
242,21,01-02-2025,342,62,212,188,Normal,Feb,2,2025,0.7,350
243,21,01-03-2025,394,68,268,166,Normal,Mar,3,2025,0.8,400
244,21,01-04-2025,429,81,347,86,Low,Apr,4,2025,0.9,450
245,21,01-05-2025,475,76,361,131,Low,May,5,2025,1,500
246,21,01-06-2025,552,68,375,149,Normal,Jun,6,2025,1.1,550
247,21,01-07-2025,609,81,493,101,Normal,Jul,7,2025,1.2,600
248,21,01-08-2025,549,75,412,122,Normal,Aug,8,2025,1.1,550
249,21,01-09-2025,504,83,418,80,Normal,Sep,9,2025,1,500
250,21,01-10-2025,444,72,320,131,Normal,Oct,10,2025,0.9,450
251,21,01-11-2025,365,85,310,76,High,Nov,11,2025,0.7,350
252,21,01-12-2025,310,81,251,95,High,Dec,12,2025,0.6,300
253,22,01-01-2025,293,75,220,122,Normal,Jan,1,2025,0.6,300
254,22,01-02-2025,334,68,227,160,Low,Feb,2,2025,0.7,350
255,22,01-03-2025,386,73,282,146,Low,Mar,3,2025,0.8,400
256,22,01-04-2025,432,69,298,142,Low,Apr,4,2025,0.9,450
257,22,01-05-2025,518,60,311,213,High,May,5,2025,1,500
258,22,01-06-2025,543,66,358,161,Normal,Jun,6,2025,1.1,550
259,22,01-07-2025,599,87,521,59,Normal,Jul,7,2025,1.2,600
260,22,01-08-2025,540,61,329,192,Normal,Aug,8,2025,1.1,550
261,22,01-09-2025,514,77,396,108,Normal,Sep,9,2025,1,500
262,22,01-10-2025,467,64,299,183,High,Oct,10,2025,0.9,450
263,22,01-11-2025,334,78,261,117,Low,Nov,11,2025,0.7,350
264,22,01-12-2025,299,73,218,122,Normal,Dec,12,2025,0.6,300
265,23,01-01-2025,579,88,510,127,Low,Jan,1,2025,0.6,600
266,23,01-02-2025,688,68,468,307,Normal,Feb,2,2025,0.7,700
267,23,01-03-2025,833,82,683,196,High,Mar,3,2025,0.8,800
268,23,01-04-2025,913,68,621,290,Normal,Apr,4,2025,0.9,900
269,23,01-05-2025,992,60,595,397,Normal,May,5,2025,1,1000
270,23,01-06-2025,1085,74,803,274,Normal,Jun,6,2025,1.1,1100
271,23,01-07-2025,1220,67,817,326,Normal,Jul,7,2025,1.2,1200
272,23,01-08-2025,1072,86,922,132,Normal,Aug,8,2025,1.1,1100
273,23,01-09-2025,951,69,656,311,Low,Sep,9,2025,1,1000
274,23,01-10-2025,922,72,664,295,Normal,Oct,10,2025,0.9,900
275,23,01-11-2025,729,88,642,115,High,Nov,11,2025,0.7,700
276,23,01-12-2025,612,70,428,304,Normal,Dec,12,2025,0.6,600
277,24,01-01-2025,122,78,95,47,Normal,Jan,1,2025,0.6,120
278,24,01-02-2025,143,77,110,47,Normal,Feb,2,2025,0.7,140
279,24,01-03-2025,160,70,112,61,Normal,Mar,3,2025,0.8,160
280,24,01-04-2025,188,87,164,28,High,Apr,4,2025,0.9,180
281,24,01-05-2025,196,89,174,22,Normal,May,5,2025,1,200
282,24,01-06-2025,213,73,155,49,Low,Jun,6,2025,1.1,220
283,24,01-07-2025,247,65,161,74,Normal,Jul,7,2025,1.2,240
284,24,01-08-2025,219,62,136,76,Normal,Aug,8,2025,1.1,220
285,24,01-09-2025,205,71,146,63,Normal,Sep,9,2025,1,200
286,24,01-10-2025,172,71,122,59,Low,Oct,10,2025,0.9,180
287,24,01-11-2025,144,73,105,59,Normal,Nov,11,2025,0.7,140
288,24,01-12-2025,125,82,103,34,High,Dec,12,2025,0.6,120
289,25,01-01-2025,242,77,186,88,Normal,Jan,1,2025,0.6,240
290,25,01-02-2025,278,80,222,85,Normal,Feb,2,2025,0.7,280
291,25,01-03-2025,317,79,250,84,Normal,Mar,3,2025,0.8,320
292,25,01-04-2025,347,67,232,130,Low,Apr,4,2025,0.9,360
293,25,01-05-2025,412,63,260,158,Normal,May,5,2025,1,400
294,25,01-06-2025,427,88,376,49,Normal,Jun,6,2025,1.1,440
295,25,01-07-2025,479,84,402,67,Normal,Jul,7,2025,1.2,480
296,25,01-08-2025,453,62,281,141,Normal,Aug,8,2025,1.1,440
297,25,01-09-2025,403,62,250,154,Normal,Sep,9,2025,1,400
298,25,01-10-2025,378,72,272,116,High,Oct,10,2025,0.9,360
299,25,01-11-2025,266,74,197,108,Low,Nov,11,2025,0.7,280
300,25,01-12-2025,231,88,203,46,Low,Dec,12,2025,0.6,240
301,26,01-01-2025,1239,72,892,578,High,Jan,1,2025,0.6,1200
302,26,01-02-2025,1401,71,995,635,Normal,Feb,2,2025,0.7,1400
303,26,01-03-2025,1615,86,1389,264,Normal,Mar,3,2025,0.8,1600
304,26,01-04-2025,1741,70,1219,630,Low,Apr,4,2025,0.9,1800
305,26,01-05-2025,1932,87,1681,279,Low,May,5,2025,1,2000
306,26,01-06-2025,2175,79,1718,425,Normal,Jun,6,2025,1.1,2200
307,26,01-07-2025,2345,81,1899,342,Normal,Jul,7,2025,1.2,2400
308,26,01-08-2025,2242,60,1345,774,Normal,Aug,8,2025,1.1,2200
309,26,01-09-2025,1971,69,1360,638,Normal,Sep,9,2025,1,2000
310,26,01-10-2025,1840,89,1638,219,Normal,Oct,10,2025,0.9,1800
311,26,01-11-2025,1374,77,1058,482,Normal,Nov,11,2025,0.7,1400
312,26,01-12-2025,1148,88,1010,219,Low,Dec,12,2025,0.6,1200
313,27,01-01-2025,414,80,331,131,Normal,Jan,1,2025,0.6,420
314,27,01-02-2025,484,82,397,121,Normal,Feb,2,2025,0.7,490
315,27,01-03-2025,556,83,461,108,Normal,Mar,3,2025,0.8,560
316,27,01-04-2025,616,68,419,215,Normal,Apr,4,2025,0.9,630
317,27,01-05-2025,725,60,435,296,High,May,5,2025,1,700
318,27,01-06-2025,741,70,519,217,Low,Jun,6,2025,1.1,770
319,27,01-07-2025,857,89,763,81,Normal,Jul,7,2025,1.2,840
320,27,01-08-2025,806,71,572,191,High,Aug,8,2025,1.1,770
321,27,01-09-2025,708,82,581,122,Normal,Sep,9,2025,1,700
322,27,01-10-2025,611,76,464,156,Low,Oct,10,2025,0.9,630
323,27,01-11-2025,493,84,414,108,Normal,Nov,11,2025,0.7,490
324,27,01-12-2025,401,87,349,96,Low,Dec,12,2025,0.6,420
325,28,01-01-2025,597,81,484,201,Normal,Jan,1,2025,0.6,600
326,28,01-02-2025,703,69,485,301,Normal,Feb,2,2025,0.7,700
327,28,01-03-2025,769,70,538,286,Low,Mar,3,2025,0.8,800
328,28,01-04-2025,944,61,576,396,High,Apr,4,2025,0.9,900
329,28,01-05-2025,1003,69,692,335,Normal,May,5,2025,1,1000
330,28,01-06-2025,1113,70,779,275,Normal,Jun,6,2025,1.1,1100
331,28,01-07-2025,1256,82,1030,195,High,Jul,7,2025,1.2,1200
332,28,01-08-2025,1111,67,744,339,Normal,Aug,8,2025,1.1,1100
333,28,01-09-2025,970,81,786,209,Normal,Sep,9,2025,1,1000
334,28,01-10-2025,919,83,763,181,Normal,Oct,10,2025,0.9,900
335,28,01-11-2025,666,89,593,100,Low,Nov,11,2025,0.7,700
336,28,01-12-2025,616,62,382,356,Normal,Dec,12,2025,0.6,600
337,29,01-01-2025,1144,74,847,521,Low,Jan,1,2025,0.6,1200
338,29,01-02-2025,1377,61,840,736,Normal,Feb,2,2025,0.7,1400
339,29,01-03-2025,1602,84,1346,308,Normal,Mar,3,2025,0.8,1600
340,29,01-04-2025,1816,61,1108,717,Normal,Apr,4,2025,0.9,1800
341,29,01-05-2025,2028,84,1704,329,Normal,May,5,2025,1,2000
342,29,01-06-2025,2190,65,1424,659,Normal,Jun,6,2025,1.1,2200
343,29,01-07-2025,2343,75,1757,482,Normal,Jul,7,2025,1.2,2400
344,29,01-08-2025,2090,77,1609,438,Low,Aug,8,2025,1.1,2200
345,29,01-09-2025,2079,89,1850,237,High,Sep,9,2025,1,2000
346,29,01-10-2025,1817,87,1581,253,Normal,Oct,10,2025,0.9,1800
347,29,01-11-2025,1444,68,982,659,High,Nov,11,2025,0.7,1400
348,29,01-12-2025,1165,77,897,503,Normal,Dec,12,2025,0.6,1200
349,30,01-01-2025,745,68,507,439,Low,Jan,1,2025,0.6,780
350,30,01-02-2025,913,80,730,249,Normal,Feb,2,2025,0.7,910
351,30,01-03-2025,994,90,895,138,Low,Mar,3,2025,0.8,1040
352,30,01-04-2025,1119,68,761,447,Low,Apr,4,2025,0.9,1170
353,30,01-05-2025,1347,77,1037,324,High,May,5,2025,1,1300
354,30,01-06-2025,1454,90,1309,119,Normal,Jun,6,2025,1.1,1430
355,30,01-07-2025,1604,87,1395,158,Normal,Jul,7,2025,1.2,1560
356,30,01-08-2025,1466,82,1202,222,Normal,Aug,8,2025,1.1,1430
357,30,01-09-2025,1257,84,1056,195,Low,Sep,9,2025,1,1300
358,30,01-10-2025,1216,82,997,256,High,Oct,10,2025,0.9,1170
359,30,01-11-2025,931,64,596,434,Normal,Nov,11,2025,0.7,910
360,30,01-12-2025,745,66,492,432,Low,Dec,12,2025,0.6,780
361,31,01-01-2025,119,71,84,58,Normal,Jan,1,2025,0.6,120
362,31,01-02-2025,145,63,91,76,High,Feb,2,2025,0.7,140
363,31,01-03-2025,161,79,127,41,Normal,Mar,3,2025,0.8,160
364,31,01-04-2025,173,80,138,40,Low,Apr,4,2025,0.9,180
