Bill_ID,Customer_ID,Billing_Month,Consumption_kWh,Bill_Amount,Paid_Status,Dispute_Flag,High_Bill_Flag
77,944,2023-10,725,181.25,Yes,Yes,No
78,580,2023-09,920,230,Yes,Yes,No
79,289,2024-07,510,127.5,Yes,No,No
80,779,2023-10,725,181.25,Yes,Yes,No
81,160,2025-06,205,51.25,Yes,No,No
82,546,2023-11,1220,305,No,No,Yes
83,971,2024-06,3525,881.25,No,No,Yes
84,576,2025-01,205,51.25,Yes,No,No
85,963,2025-10,315,78.75,Yes,No,No
86,328,2025-04,920,230,Yes,Yes,No
87,278,2025-04,920,230,No,Yes,No
88,900,2024-01,1220,305,No,No,Yes
89,99,2023-03,510,127.5,Yes,No,No
90,887,2024-11,420,105,Yes,No,No
91,950,2024-01,1825,456.25,No,Yes,Yes
92,68,2026-01,2525,631.25,No,Yes,Yes
93,584,2025-03,510,127.5,No,No,No
94,239,2026-01,725,181.25,No,No,No
95,113,2024-05,315,78.75,Yes,No,No
96,954,2024-10,5025,1256.25,No,Yes,Yes
97,281,2023-10,2525,631.25,No,No,Yes
98,920,2024-09,3525,881.25,No,Yes,Yes
99,492,2024-06,315,78.75,Yes,No,No
100,400,2024-11,920,230,Yes,Yes,No
101,669,2023-08,920,230,No,Yes,No
102,281,2024-03,725,181.25,Yes,Yes,No
103,443,2024-02,2525,631.25,No,No,Yes
104,406,2026-01,920,230,Yes,Yes,No
105,190,2024-09,1220,305,No,Yes,Yes
106,424,2024-04,510,127.5,Yes,No,No
107,632,2025-02,420,105,Yes,No,No
108,798,2024-10,1825,456.25,No,No,Yes
109,118,2024-11,315,78.75,Yes,No,No
110,649,2024-10,420,105,Yes,No,No
111,999,2025-07,5025,1256.25,No,No,Yes
112,102,2025-03,205,51.25,Yes,No,No
113,652,2025-04,315,78.75,Yes,No,No
114,366,2025-06,920,230,Yes,Yes,No
115,51,2024-01,1825,456.25,No,No,Yes
116,472,2024-11,2525,631.25,No,Yes,Yes
117,417,2025-03,3525,881.25,No,No,Yes
118,630,2025-01,420,105,Yes,No,No
119,510,2023-11,725,181.25,Yes,No,No
120,52,2025-08,510,127.5,Yes,No,No
121,225,2023-05,315,78.75,Yes,No,No
122,603,2024-09,1825,456.25,No,Yes,Yes
123,441,2025-03,725,181.25,Yes,No,No
124,813,2024-05,3525,881.25,No,Yes,Yes
125,256,2025-06,420,105,Yes,No,No
126,252,2025-07,420,105,Yes,No,No
127,646,2023-06,3525,881.25,No,No,Yes
128,660,2026-01,510,127.5,Yes,No,No
129,871,2024-09,315,78.75,Yes,No,No
130,145,2023-03,920,230,No,Yes,No
131,553,2025-05,1220,305,No,Yes,Yes
132,786,2023-08,1220,305,No,Yes,Yes
133,444,2024-04,205,51.25,Yes,No,No
134,891,2025-01,3525,881.25,No,No,Yes
135,534,2024-10,315,78.75,Yes,No,No
136,155,2025-12,920,230,No,No,No
137,257,2023-06,420,105,Yes,No,No
138,261,2025-04,315,78.75,Yes,No,No
139,736,2026-03,5025,1256.25,No,Yes,Yes
140,837,2023-04,420,105,Yes,No,No
141,889,2025-09,2525,631.25,No,Yes,Yes
142,471,2024-05,725,181.25,Yes,No,No
143,7,2023-04,725,181.25,Yes,No,No
144,117,2026-04,420,105,Yes,No,No
145,110,2025-09,1220,305,No,Yes,Yes
146,258,2024-06,205,51.25,Yes,No,No
147,586,2023-04,3525,881.25,No,Yes,Yes
148,877,2026-03,315,78.75,Yes,No,No
149,828,2024-12,2525,631.25,No,No,Yes
150,285,2026-02,5025,1256.25,No,No,Yes
151,906,2023-12,3525,881.25,No,Yes,Yes
152,234,2024-01,5025,1256.25,No,No,Yes
153,795,2023-06,725,181.25,Yes,No,No
154,173,2023-09,920,230,Yes,No,No
155,270,2026-02,3525,881.25,No,No,Yes
156,407,2023-07,1220,305,No,No,Yes
157,11,2024-01,510,127.5,Yes,No,No
158,666,2025-04,5025,1256.25,No,Yes,Yes
159,889,2024-05,3525,881.25,No,No,Yes
160,272,2025-12,5025,1256.25,No,Yes,Yes
161,305,2025-09,420,105,Yes,No,No
162,58,2026-01,725,181.25,Yes,Yes,No
163,384,2025-08,2525,631.25,No,Yes,Yes
164,489,2025-08,5025,1256.25,No,Yes,Yes
165,963,2023-06,420,105,Yes,No,No
166,151,2023-04,725,181.25,Yes,Yes,No
167,735,2025-07,205,51.25,Yes,No,No
168,399,2023-11,205,51.25,Yes,No,No
169,281,2025-02,1220,305,No,No,Yes
170,677,2023-10,920,230,Yes,No,No
171,390,2025-05,5025,1256.25,No,No,Yes
172,23,2025-03,205,51.25,Yes,No,No
173,403,2025-01,920,230,No,No,No
174,605,2024-03,920,230,No,No,No
175,973,2024-04,510,127.5,Yes,No,No
176,101,2023-07,920,230,No,No,No
177,307,2023-11,725,181.25,No,No,No
178,36,2025-01,3525,881.25,No,Yes,Yes
179,587,2023-11,725,181.25,Yes,Yes,No
180,861,2023-06,205,51.25,Yes,No,No
181,192,2025-10,1825,456.25,No,No,Yes
182,204,2024-10,1825,456.25,No,Yes,Yes
183,760,2025-01,2525,631.25,No,Yes,Yes
184,934,2024-09,510,127.5,No,No,No
185,603,2026-04,205,51.25,Yes,No,No
186,43,2023-05,315,78.75,Yes,No,No
187,589,2025-10,315,78.75,Yes,No,No
188,247,2023-08,725,181.25,Yes,No,No
189,192,2023-09,3525,881.25,No,Yes,Yes
190,230,2023-10,1825,456.25,No,No,Yes
191,975,2025-09,510,127.5,Yes,No,No
192,747,2026-03,5025,1256.25,No,Yes,Yes
193,609,2026-01,315,78.75,Yes,No,No
194,679,2024-01,315,78.75,Yes,No,No
195,169,2024-05,3525,881.25,No,Yes,Yes
196,550,2024-10,920,230,Yes,No,No
197,925,2023-07,1825,456.25,No,No,Yes
198,357,2024-11,3525,881.25,No,Yes,Yes
199,897,2023-11,725,181.25,No,No,No
200,732,2023-07,1825,456.25,No,Yes,Yes
201,611,2023-07,510,127.5,Yes,No,No
202,494,2023-08,420,105,Yes,No,No
203,167,2024-11,2525,631.25,No,No,Yes
204,861,2023-06,510,127.5,No,No,No
205,627,2025-11,1220,305,No,No,Yes
206,400,2025-10,1220,305,No,Yes,Yes
207,23,2024-03,1825,456.25,No,Yes,Yes
208,810,2025-07,3525,881.25,No,No,Yes
209,442,2025-07,5025,1256.25,No,No,Yes
210,218,2024-07,1825,456.25,No,Yes,Yes
211,514,2024-08,1220,305,No,Yes,Yes
212,561,2024-09,1220,305,No,Yes,Yes
213,722,2024-08,920,230,Yes,No,No
214,853,2024-08,1825,456.25,No,Yes,Yes
215,642,2025-10,1825,456.25,No,Yes,Yes
216,26,2023-07,2525,631.25,No,Yes,Yes
217,843,2023-04,3525,881.25,No,Yes,Yes
218,436,2023-06,510,127.5,Yes,No,No
219,884,2023-08,510,127.5,No,No,No
220,883,2025-11,1220,305,No,No,Yes
221,412,2023-12,5025,1256.25,No,Yes,Yes
222,700,2024-10,725,181.25,Yes,No,No
223,582,2024-04,1220,305,No,No,Yes
224,584,2025-06,5025,1256.25,No,No,Yes
225,70,2025-08,1220,305,No,Yes,Yes
226,399,2023-11,1825,456.25,No,Yes,Yes
227,252,2025-07,920,230,Yes,No,No
228,976,2024-04,315,78.75,Yes,No,No
229,866,2024-11,5025,1256.25,No,Yes,Yes
230,707,2024-09,315,78.75,Yes,No,No
231,54,2025-08,315,78.75,Yes,No,No
232,301,2024-01,2525,631.25,No,Yes,Yes
233,311,2025-06,315,78.75,Yes,No,No
234,678,2024-12,1825,456.25,No,Yes,Yes
235,31,2024-01,5025,1256.25,No,No,Yes
236,22,2025-04,920,230,No,Yes,No
237,838,2025-01,725,181.25,Yes,No,No
238,652,2025-07,1825,456.25,No,Yes,Yes
239,991,2023-12,1825,456.25,No,No,Yes
240,473,2024-06,510,127.5,Yes,No,No
241,335,2026-01,2525,631.25,No,No,Yes
242,811,2023-04,920,230,No,Yes,No
243,704,2024-07,5025,1256.25,No,No,Yes
244,969,2024-06,315,78.75,Yes,No,No
245,954,2025-08,2525,631.25,No,No,Yes
246,233,2023-10,1220,305,No,No,Yes
247,204,2023-11,205,51.25,Yes,No,No
248,570,2024-02,1825,456.25,No,Yes,Yes
249,185,2023-09,725,181.25,Yes,No,No
250,327,2024-08,315,78.75,Yes,No,No
251,555,2025-09,420,105,Yes,No,No
252,368,2025-06,315,78.75,Yes,No,No
253,370,2023-06,3525,881.25,No,Yes,Yes
254,422,2025-11,3525,881.25,No,Yes,Yes
255,297,2025-10,2525,631.25,No,Yes,Yes
256,789,2025-08,920,230,No,No,No
257,960,2025-01,3525,881.25,No,Yes,Yes
258,495,2025-05,5025,1256.25,No,Yes,Yes
259,939,2025-08,2525,631.25,No,Yes,Yes
260,371,2024-04,5025,1256.25,No,No,Yes
261,135,2024-04,1220,305,No,No,Yes
262,598,2024-05,510,127.5,Yes,No,No
263,646,2025-01,3525,881.25,No,Yes,Yes
264,255,2025-11,2525,631.25,No,Yes,Yes
265,583,2023-06,725,181.25,Yes,No,No
266,904,2025-01,1220,305,No,Yes,Yes
267,439,2023-09,920,230,No,Yes,No
268,732,2023-12,920,230,Yes,No,No
269,27,2024-07,1825,456.25,No,Yes,Yes
270,605,2023-06,315,78.75,Yes,No,No
271,133,2025-08,2525,631.25,No,Yes,Yes
272,341,2023-04,510,127.5,Yes,No,No
273,725,2023-12,2525,631.25,No,Yes,Yes
274,816,2026-01,1825,456.25,No,Yes,Yes
275,152,2023-12,1825,456.25,No,Yes,Yes
276,924,2024-01,2525,631.25,No,Yes,Yes
277,826,2025-05,205,51.25,Yes,No,No
278,698,2026-02,725,181.25,Yes,No,No
279,738,2024-04,205,51.25,Yes,No,No
280,672,2024-03,920,230,No,No,No
281,400,2026-04,2525,631.25,No,Yes,Yes
282,946,2024-01,5025,1256.25,No,No,Yes
283,888,2024-06,420,105,Yes,No,No
284,692,2025-11,2525,631.25,No,Yes,Yes
285,37,2024-12,315,78.75,Yes,No,No
286,57,2026-02,420,105,Yes,No,No
287,881,2024-04,510,127.5,No,No,No
288,877,2025-01,5025,1256.25,No,Yes,Yes
289,739,2023-05,315,78.75,Yes,No,No
290,789,2023-12,315,78.75,Yes,No,No
291,887,2025-05,920,230,Yes,Yes,No
292,403,2026-03,3525,881.25,No,No,Yes
293,676,2025-08,3525,881.25,No,No,Yes
294,412,2023-05,725,181.25,No,No,No
295,438,2023-11,315,78.75,Yes,No,No
296,524,2023-03,725,181.25,Yes,No,No
297,498,2024-08,420,105,Yes,No,No
298,691,2025-10,205,51.25,Yes,No,No
299,588,2024-03,920,230,No,Yes,No
300,569,2025-04,920,230,No,No,No
301,197,2024-09,205,51.25,Yes,No,No
302,99,2025-02,3525,881.25,No,No,Yes
303,16,2023-10,1825,456.25,No,No,Yes
304,547,2024-10,315,78.75,Yes,No,No
305,219,2024-08,5025,1256.25,No,No,Yes
306,324,2023-12,920,230,No,Yes,No
307,845,2024-08,725,181.25,No,No,No
308,355,2024-11,205,51.25,Yes,No,No
309,238,2024-01,205,51.25,Yes,No,No
310,143,2024-03,510,127.5,Yes,No,No
311,45,2026-02,920,230,Yes,Yes,No
312,332,2025-12,5025,1256.25,No,Yes,Yes
313,248,2024-07,1825,456.25,No,Yes,Yes
314,151,2025-08,420,105,Yes,No,No
315,552,2025-05,3525,881.25,No,No,Yes
316,198,2025-11,725,181.25,Yes,No,No
317,924,2023-06,1220,305,No,Yes,Yes
318,975,2025-08,1220,305,No,No,Yes
319,132,2024-02,205,51.25,Yes,No,No
320,88,2024-09,420,105,Yes,No,No
321,765,2024-02,315,78.75,Yes,No,No
322,704,2024-01,1220,305,No,No,Yes
323,380,2025-06,5025,1256.25,No,Yes,Yes
324,772,2024-10,920,230,Yes,No,No
325,664,2024-07,725,181.25,Yes,No,No
326,642,2025-10,1220,305,No,Yes,Yes
327,434,2025-06,1825,456.25,No,No,Yes
328,463,2025-07,420,105,Yes,No,No
329,790,2025-09,205,51.25,Yes,No,No
330,146,2023-06,5025,1256.25,No,Yes,Yes
331,3,2024-04,725,181.25,No,Yes,No
332,683,2023-10,510,127.5,Yes,No,No
333,131,2024-02,5025,1256.25,No,No,Yes
334,961,2023-11,315,78.75,Yes,No,No
335,872,2025-05,725,181.25,Yes,No,No
336,20,2025-10,5025,1256.25,No,Yes,Yes
337,796,2025-12,1220,305,No,Yes,Yes
338,910,2024-12,205,51.25,Yes,No,No
339,7,2024-01,510,127.5,No,Yes,No
340,340,2024-04,420,105,Yes,No,No
341,993,2024-03,1220,305,No,No,Yes
342,602,2024-03,1220,305,No,Yes,Yes
343,256,2025-10,420,105,Yes,No,No
344,668,2024-05,315,78.75,Yes,No,No
345,479,2025-05,3525,881.25,No,Yes,Yes
346,656,2025-06,205,51.25,Yes,No,No
347,47,2025-10,2525,631.25,No,Yes,Yes
348,527,2024-09,920,230,Yes,Yes,No
349,380,2025-08,315,78.75,Yes,No,No
350,363,2024-09,315,78.75,Yes,No,No
351,426,2023-06,3525,881.25,No,Yes,Yes
352,293,2024-05,1825,456.25,No,No,Yes
353,655,2025-01,420,105,Yes,No,No
354,882,2025-06,5025,1256.25,No,Yes,Yes
355,237,2025-01,725,181.25,Yes,Yes,No
356,804,2024-05,315,78.75,Yes,No,No
357,605,2025-05,205,51.25,Yes,No,No
358,197,2023-06,315,78.75,Yes,No,No
359,238,2023-05,315,78.75,Yes,No,No
360,268,2025-04,5025,1256.25,No,No,Yes
361,902,2023-05,420,105,Yes,No,No
362,678,2024-12,2525,631.25,No,No,Yes
363,192,2026-01,205,51.25,Yes,No,No
364,824,2026-01,1220,305,No,Yes,Yes
365,433,2023-10,5025,1256.25,No,Yes,Yes
366,57,2026-03,3525,881.25,No,No,Yes
367,752,2024-07,1220,305,No,Yes,Yes
368,42,2023-12,5025,1256.25,No,Yes,Yes
369,106,2024-02,420,105,Yes,No,No
370,946,2024-06,725,181.25,Yes,Yes,No
371,467,2023-03,920,230,Yes,Yes,No
372,868,2023-11,420,105,Yes,No,No
373,670,2024-03,3525,881.25,No,Yes,Yes
374,722,2024-10,1220,305,No,Yes,Yes
375,719,2025-11,510,127.5,Yes,No,No
376,399,2025-05,2525,631.25,No,No,Yes
377,165,2025-06,1220,305,No,No,Yes
378,409,2023-12,2525,631.25,No,Yes,Yes
379,353,2025-12,315,78.75,Yes,No,No
380,578,2025-08,2525,631.25,No,No,Yes
381,265,2023-11,205,51.25,Yes,No,No
382,239,2026-01,315,78.75,Yes,No,No
383,173,2026-03,920,230,Yes,No,No
384,191,2024-08,420,105,Yes,No,No
385,475,2025-01,5025,1256.25,No,Yes,Yes
386,477,2025-04,1220,305,No,Yes,Yes
387,841,2024-03,5025,1256.25,No,Yes,Yes
388,1000,2025-08,315,78.75,Yes,No,No
389,217,2025-07,725,181.25,Yes,No,No
390,801,2025-11,1825,456.25,No,Yes,Yes
391,770,2025-11,1220,305,No,Yes,Yes
392,34,2023-06,510,127.5,Yes,Yes,No
393,788,2025-05,1220,305,No,No,Yes
394,800,2023-05,205,51.25,Yes,No,No
395,644,2024-04,1220,305,No,Yes,Yes
396,208,2025-06,205,51.25,Yes,No,No
397,174,2024-07,725,181.25,Yes,No,No
398,508,2023-11,2525,631.25,No,Yes,Yes
399,832,2024-12,510,127.5,No,No,No
400,713,2025-08,2525,631.25,No,Yes,Yes
401,38,2024-06,3525,881.25,No,No,Yes
402,507,2023-03,510,127.5,Yes,No,No
403,869,2024-03,1220,305,No,No,Yes
404,671,2025-12,205,51.25,Yes,No,No
405,704,2024-12,5025,1256.25,No,Yes,Yes
406,532,2025-02,315,78.75,Yes,No,No
407,917,2023-08,420,105,Yes,No,No
408,407,2024-01,725,181.25,Yes,No,No
409,708,2025-01,725,181.25,Yes,No,No
410,897,2024-08,920,230,No,No,No
411,159,2023-08,920,230,Yes,No,No
412,259,2026-02,920,230,No,No,No
413,615,2023-09,725,181.25,Yes,No,No
414,621,2024-10,420,105,Yes,No,No
415,473,2024-02,420,105,Yes,No,No
416,497,2025-11,510,127.5,No,No,No
417,116,2024-12,2525,631.25,No,No,Yes
418,185,2025-04,1220,305,No,Yes,Yes
419,889,2025-10,315,78.75,Yes,No,No
420,389,2023-11,3525,881.25,No,No,Yes
421,333,2023-05,920,230,Yes,Yes,No
422,309,2023-10,315,78.75,Yes,No,No
423,703,2025-03,5025,1256.25,No,Yes,Yes
424,702,2024-05,1825,456.25,No,No,Yes
425,615,2023-12,315,78.75,Yes,No,No
426,143,2025-09,920,230,No,No,No
427,105,2025-04,920,230,Yes,Yes,No
428,698,2025-06,5025,1256.25,No,Yes,Yes
429,852,2025-10,2525,631.25,No,Yes,Yes
430,876,2026-01,3525,881.25,No,No,Yes
431,565,2024-04,725,181.25,No,No,No
432,798,2025-08,3525,881.25,No,No,Yes
433,209,2025-12,725,181.25,Yes,No,No
434,96,2026-01,205,51.25,Yes,No,No
435,167,2024-02,1825,456.25,No,Yes,Yes
436,39,2024-01,510,127.5,No,No,No
437,541,2023-10,1825,456.25,No,Yes,Yes
438,882,2023-09,725,181.25,Yes,Yes,No
439,3,2025-03,510,127.5,Yes,No,No
440,469,2026-03,2525,631.25,No,No,Yes
441,869,2024-02,420,105,Yes,No,No
442,358,2024-10,315,78.75,Yes,No,No
443,539,2024-02,510,127.5,Yes,Yes,No
444,874,2024-05,5025,1256.25,No,No,Yes
445,144,2025-11,510,127.5,No,Yes,No
446,145,2025-04,920,230,Yes,No,No
447,672,2024-06,315,78.75,Yes,No,No
448,758,2023-05,2525,631.25,No,Yes,Yes
449,351,2023-10,920,230,Yes,Yes,No
450,663,2024-06,1825,456.25,No,Yes,Yes
451,653,2023-09,1220,305,No,No,Yes
452,831,2024-01,420,105,Yes,No,No
453,79,2025-08,725,181.25,Yes,No,No
454,202,2025-01,2525,631.25,No,Yes,Yes
455,464,2024-10,315,78.75,Yes,No,No
456,204,2025-10,920,230,No,No,No
457,913,2024-11,205,51.25,Yes,No,No
458,536,2025-07,510,127.5,Yes,No,No
459,147,2023-07,1220,305,No,Yes,Yes
460,94,2025-06,1220,305,No,Yes,Yes
461,255,2025-08,2525,631.25,No,Yes,Yes
462,663,2023-05,3525,881.25,No,Yes,Yes
463,587,2026-02,5025,1256.25,No,Yes,Yes
464,505,2024-11,510,127.5,Yes,No,No
465,302,2024-08,1220,305,No,Yes,Yes
466,768,2024-01,205,51.25,Yes,No,No
467,464,2025-07,205,51.25,Yes,No,No
468,494,2023-10,920,230,Yes,Yes,No
469,177,2025-01,1220,305,No,Yes,Yes
470,700,2025-05,315,78.75,Yes,No,No
471,396,2024-10,315,78.75,Yes,No,No
472,66,2025-04,315,78.75,Yes,No,No
473,996,2026-01,920,230,Yes,Yes,No
474,796,2026-02,3525,881.25,No,Yes,Yes
475,130,2025-01,420,105,Yes,No,No
476,552,2023-11,420,105,Yes,No,No
477,410,2025-12,5025,1256.25,No,Yes,Yes
478,925,2023-10,1825,456.25,No,Yes,Yes
479,391,2024-12,920,230,No,No,No
480,587,2023-07,1825,456.25,No,Yes,Yes
481,908,2024-10,1220,305,No,Yes,Yes
482,377,2024-05,1825,456.25,No,Yes,Yes
483,141,2024-06,2525,631.25,No,No,Yes
484,513,2024-09,725,181.25,Yes,Yes,No
485,72,2024-04,3525,881.25,No,Yes,Yes
486,960,2024-10,315,78.75,Yes,No,No
487,6,2023-06,725,181.25,Yes,No,No
488,904,2023-05,510,127.5,No,No,No
489,697,2024-04,920,230,No,No,No
490,679,2023-11,420,105,Yes,No,No
491,205,2025-11,5025,1256.25,No,Yes,Yes
492,572,2024-06,2525,631.25,No,Yes,Yes
493,608,2025-08,2525,631.25,No,Yes,Yes
494,573,2025-02,2525,631.25,No,Yes,Yes
495,47,2024-06,1220,305,No,Yes,Yes
496,162,2023-10,920,230,Yes,No,No
497,339,2024-05,1825,456.25,No,No,Yes
498,739,2025-04,2525,631.25,No,No,Yes
499,685,2024-03,315,78.75,Yes,No,No
500,343,2023-06,205,51.25,Yes,No,No
501,127,2025-01,1220,305,No,Yes,Yes
502,576,2023-06,920,230,Yes,No,No
503,330,2024-07,2525,631.25,No,Yes,Yes
504,155,2023-07,725,181.25,Yes,No,No
505,411,2025-02,2525,631.25,No,No,Yes
506,365,2024-06,1825,456.25,No,Yes,Yes
507,365,2024-08,1825,456.25,No,Yes,Yes
508,906,2024-03,205,51.25,Yes,No,No
509,584,2026-02,2525,631.25,No,No,Yes
510,55,2024-04,920,230,Yes,Yes,No
511,281,2023-03,920,230,Yes,No,No
512,996,2023-07,205,51.25,Yes,No,No
513,351,2023-09,315,78.75,Yes,No,No
514,458,2023-09,420,105,Yes,No,No
515,444,2024-06,205,51.25,Yes,No,No
516,242,2025-07,1220,305,No,Yes,Yes
517,55,2024-03,5025,1256.25,No,No,Yes
518,749,2024-08,205,51.25,Yes,No,No
519,556,2025-12,920,230,No,No,No
520,447,2025-12,920,230,Yes,No,No
521,672,2023-12,510,127.5,No,No,No
522,673,2024-10,2525,631.25,No,Yes,Yes
523,998,2023-04,205,51.25,Yes,No,No
524,108,2024-02,205,51.25,Yes,No,No
525,61,2025-05,5025,1256.25,No,Yes,Yes
526,211,2023-11,1220,305,No,No,Yes
527,641,2024-01,920,230,No,Yes,No
528,428,2026-02,205,51.25,Yes,No,No
529,503,2023-05,920,230,Yes,No,No
530,246,2023-09,3525,881.25,No,No,Yes
531,931,2026-01,1825,456.25,No,No,Yes
532,876,2025-08,420,105,Yes,No,No
533,786,2024-05,1825,456.25,No,Yes,Yes
534,970,2024-12,5025,1256.25,No,Yes,Yes
535,545,2024-12,920,230,Yes,Yes,No
536,533,2023-06,920,230,Yes,No,No
537,395,2025-12,920,230,No,Yes,No
538,180,2024-07,3525,881.25,No,No,Yes
539,19,2024-03,5025,1256.25,No,Yes,Yes
540,156,2024-12,1825,456.25,No,Yes,Yes
541,397,2025-12,2525,631.25,No,Yes,Yes
542,559,2023-09,420,105,Yes,No,No
543,886,2024-06,3525,881.25,No,No,Yes
544,920,2023-12,5025,1256.25,No,Yes,Yes
545,182,2024-02,920,230,Yes,No,No
546,752,2024-08,420,105,Yes,No,No
547,396,2025-12,1825,456.25,No,No,Yes
548,911,2024-02,510,127.5,Yes,No,No
549,636,2025-01,725,181.25,Yes,No,No
550,199,2025-01,205,51.25,Yes,No,No
551,820,2023-05,725,181.25,Yes,No,No
552,781,2024-06,510,127.5,Yes,No,No
553,465,2025-05,315,78.75,Yes,No,No
554,881,2025-11,510,127.5,Yes,No,No
555,937,2026-01,315,78.75,Yes,No,No
556,359,2023-05,205,51.25,Yes,No,No
557,383,2024-07,920,230,Yes,No,No
558,703,2024-03,3525,881.25,No,No,Yes
559,92,2024-05,920,230,Yes,No,No
560,839,2025-08,1220,305,No,Yes,Yes
561,605,2023-12,1220,305,No,Yes,Yes
562,447,2023-09,2525,631.25,No,No,Yes
563,932,2023-03,420,105,Yes,No,No
564,682,2025-07,920,230,Yes,No,No
565,78,2024-01,3525,881.25,No,No,Yes
566,57,2024-06,510,127.5,Yes,No,No
567,972,2023-09,510,127.5,Yes,No,No
568,86,2025-07,5025,1256.25,No,Yes,Yes
569,800,2023-09,725,181.25,Yes,No,No
570,339,2025-05,5025,1256.25,No,No,Yes
571,107,2026-02,5025,1256.25,No,Yes,Yes
572,693,2023-10,3525,881.25,No,No,Yes
573,735,2024-09,205,51.25,Yes,No,No
574,908,2023-04,510,127.5,Yes,No,No
575,819,2024-10,2525,631.25,No,Yes,Yes
576,790,2024-10,1825,456.25,No,Yes,Yes
577,818,2024-05,2525,631.25,No,Yes,Yes
578,739,2026-01,205,51.25,Yes,No,No
579,518,2025-07,5025,1256.25,No,No,Yes
580,461,2025-09,2525,631.25,No,Yes,Yes
581,926,2025-11,315,78.75,Yes,No,No
582,961,2026-02,5025,1256.25,No,Yes,Yes
583,744,2024-11,725,181.25,Yes,No,No
584,648,2023-10,205,51.25,Yes,No,No
585,125,2026-04,725,181.25,Yes,No,No
586,578,2023-10,725,181.25,Yes,No,No
587,473,2025-07,1825,456.25,No,No,Yes
588,833,2024-03,315,78.75,Yes,No,No
