Campaign_ID,Customer_ID,Campaign_Type,Opened,Clicked,Positive_Response,Campaign_Date,Engagement_Level,Conversion_Type
148,833,Email,Yes,Yes,No,01-02-2025,Medium,None
149,110,SMS,Yes,No,No,01-08-2025,Low,None
150,165,Email,Yes,Yes,No,01-08-2025,Medium,None
151,621,Email,Yes,No,No,01-09-2025,Low,None
152,148,Email,Yes,No,No,01-07-2025,Low,None
153,650,Email,Yes,No,No,01-04-2025,Low,None
154,897,SMS,No,No,No,01-11-2025,None,None
155,382,Email,Yes,No,No,01-12-2025,Low,None
156,576,Email,No,No,No,01-08-2025,None,None
157,205,SMS,No,No,No,01-01-2025,None,None
158,299,SMS,No,No,No,01-12-2025,None,None
159,951,SMS,No,No,No,01-08-2025,None,None
160,452,Email,No,No,No,01-11-2025,None,None
161,813,SMS,Yes,Yes,Yes,01-04-2025,High,Smart_Meter
162,318,Email,No,No,No,01-08-2025,None,None
163,721,SMS,Yes,No,No,01-12-2025,Low,None
164,541,Email,Yes,Yes,No,01-09-2025,Medium,None
165,650,Email,Yes,No,No,01-03-2025,Low,None
166,965,SMS,Yes,No,No,01-12-2025,Low,None
167,708,SMS,No,No,No,01-04-2025,None,None
168,9,Email,Yes,No,No,01-03-2025,Low,None
169,311,Email,Yes,No,No,01-12-2025,Low,None
170,36,Email,No,No,No,01-10-2025,None,None
171,604,Email,No,No,No,01-04-2025,None,None
172,137,Email,Yes,No,No,01-06-2025,Low,None
173,763,Email,Yes,Yes,Yes,01-03-2025,High,Solar_Interest
174,567,SMS,No,No,No,01-12-2025,None,None
175,823,SMS,No,No,No,01-11-2025,None,None
176,163,SMS,No,No,No,01-09-2025,None,None
177,787,Email,Yes,No,No,01-09-2025,Low,None
178,639,Email,Yes,Yes,No,01-05-2025,Medium,None
179,581,SMS,Yes,No,No,01-03-2025,Low,None
180,889,SMS,Yes,No,No,01-01-2025,Low,None
181,368,SMS,No,No,No,01-08-2025,None,None
182,480,SMS,Yes,No,No,01-03-2025,Low,None
183,425,SMS,Yes,Yes,Yes,01-06-2025,High,Smart_Meter
184,65,SMS,No,No,No,01-06-2025,None,None
185,365,Email,No,No,No,01-12-2025,None,None
186,406,Email,No,No,No,01-11-2025,None,None
187,104,Email,No,No,No,01-12-2025,None,None
188,378,Email,Yes,No,No,01-01-2025,Low,None
189,542,SMS,Yes,No,No,01-03-2025,Low,None
190,580,Email,Yes,No,No,01-12-2025,Low,None
191,444,Email,No,No,No,01-12-2025,None,None
192,769,Email,Yes,No,No,01-08-2025,Low,None
193,105,SMS,Yes,No,No,01-07-2025,Low,None
194,583,Email,No,No,No,01-12-2025,None,None
195,856,Email,Yes,Yes,Yes,01-10-2025,High,Solar_Interest
196,642,Email,No,No,No,01-09-2025,None,None
197,332,SMS,No,No,No,01-12-2025,None,None
198,790,Email,Yes,Yes,Yes,01-07-2025,High,Solar_Interest
199,728,SMS,Yes,No,No,01-03-2025,Low,None
200,651,Email,No,No,No,01-11-2025,None,None
201,195,SMS,Yes,No,No,01-05-2025,Low,None
202,24,Email,Yes,Yes,Yes,01-08-2025,High,Solar_Interest
203,205,Email,Yes,No,No,01-07-2025,Low,None
204,221,SMS,Yes,No,No,01-12-2025,Low,None
205,544,SMS,No,No,No,01-03-2025,None,None
206,584,Email,Yes,Yes,No,01-05-2025,Medium,None
207,928,Email,No,No,No,01-09-2025,None,None
208,583,SMS,Yes,No,No,01-06-2025,Low,None
209,696,Email,Yes,No,No,01-08-2025,Low,None
210,726,Email,Yes,No,No,01-03-2025,Low,None
211,99,SMS,No,No,No,01-06-2025,None,None
212,57,SMS,Yes,No,No,01-12-2025,Low,None
213,85,SMS,Yes,No,No,01-07-2025,Low,None
214,208,SMS,Yes,No,No,01-02-2025,Low,None
215,439,SMS,Yes,Yes,Yes,01-02-2025,High,Smart_Meter
216,452,SMS,No,No,No,01-11-2025,None,None
217,696,SMS,No,No,No,01-10-2025,None,None
218,964,SMS,No,No,No,01-04-2025,None,None
219,358,SMS,Yes,No,No,01-04-2025,Low,None
220,746,Email,Yes,Yes,No,01-11-2025,Medium,None
221,513,SMS,Yes,Yes,No,01-09-2025,Medium,None
222,867,Email,Yes,No,No,01-09-2025,Low,None
223,160,Email,Yes,Yes,No,01-04-2025,Medium,None
224,622,SMS,Yes,No,No,01-08-2025,Low,None
225,200,SMS,Yes,No,No,01-08-2025,Low,None
226,558,Email,Yes,No,No,01-05-2025,Low,None
227,276,Email,No,No,No,01-05-2025,None,None
228,352,Email,Yes,Yes,No,01-11-2025,Medium,None
229,583,SMS,Yes,Yes,No,01-01-2025,Medium,None
230,33,SMS,Yes,Yes,No,01-12-2025,Medium,None
231,689,SMS,Yes,Yes,Yes,01-01-2025,High,Smart_Meter
232,821,Email,No,No,No,01-11-2025,None,None
233,584,SMS,Yes,No,No,01-12-2025,Low,None
234,614,SMS,Yes,No,No,01-09-2025,Low,None
235,207,Email,No,No,No,01-04-2025,None,None
236,29,SMS,No,No,No,01-05-2025,None,None
237,28,SMS,Yes,No,No,01-06-2025,Low,None
238,294,SMS,Yes,Yes,No,01-05-2025,Medium,None
239,69,Email,No,No,No,01-09-2025,None,None
240,493,Email,Yes,No,No,01-07-2025,Low,None
241,665,SMS,Yes,Yes,No,01-07-2025,Medium,None
242,148,Email,No,No,No,01-03-2025,None,None
243,682,SMS,Yes,Yes,No,01-03-2025,Medium,None
244,895,Email,No,No,No,01-12-2025,None,None
245,207,Email,Yes,Yes,No,01-01-2025,Medium,None
246,928,Email,Yes,No,No,01-11-2025,Low,None
247,907,SMS,Yes,No,No,01-01-2025,Low,None
248,187,SMS,No,No,No,01-07-2025,None,None
249,237,SMS,Yes,Yes,Yes,01-12-2025,High,Smart_Meter
250,257,SMS,Yes,Yes,No,01-04-2025,Medium,None
251,940,SMS,No,No,No,01-05-2025,None,None
252,232,Email,Yes,No,No,01-12-2025,Low,None
253,384,SMS,No,No,No,01-08-2025,None,None
254,248,Email,No,No,No,01-03-2025,None,None
255,381,Email,Yes,Yes,No,01-06-2025,Medium,None
256,243,Email,No,No,No,01-12-2025,None,None
257,653,SMS,Yes,Yes,Yes,01-04-2025,High,Smart_Meter
258,838,SMS,Yes,No,No,01-03-2025,Low,None
259,415,Email,Yes,No,No,01-03-2025,Low,None
260,527,SMS,Yes,Yes,Yes,01-06-2025,High,Smart_Meter
261,105,SMS,No,No,No,01-06-2025,None,None
262,627,Email,No,No,No,01-04-2025,None,None
263,565,Email,Yes,No,No,01-01-2025,Low,None
264,566,Email,No,No,No,01-11-2025,None,None
265,475,Email,Yes,No,No,01-11-2025,Low,None
266,392,SMS,No,No,No,01-10-2025,None,None
267,839,SMS,No,No,No,01-08-2025,None,None
268,368,SMS,Yes,No,No,01-04-2025,Low,None
269,19,Email,No,No,No,01-06-2025,None,None
270,679,Email,No,No,No,01-03-2025,None,None
271,82,Email,No,No,No,01-11-2025,None,None
272,665,SMS,Yes,No,No,01-04-2025,Low,None
273,18,SMS,Yes,Yes,Yes,01-04-2025,High,Smart_Meter
274,678,SMS,Yes,Yes,No,01-03-2025,Medium,None
275,7,SMS,Yes,Yes,No,01-07-2025,Medium,None
276,638,SMS,Yes,No,No,01-12-2025,Low,None
277,486,Email,Yes,Yes,Yes,01-03-2025,High,Solar_Interest
278,462,Email,Yes,Yes,No,01-02-2025,Medium,None
279,411,SMS,No,No,No,01-12-2025,None,None
280,168,Email,Yes,Yes,No,01-02-2025,Medium,None
281,596,Email,Yes,No,No,01-09-2025,Low,None
282,760,SMS,Yes,No,No,01-11-2025,Low,None
283,526,SMS,Yes,No,No,01-07-2025,Low,None
284,518,Email,No,No,No,01-04-2025,None,None
285,500,SMS,Yes,No,No,01-03-2025,Low,None
286,355,SMS,Yes,No,No,01-10-2025,Low,None
287,252,Email,Yes,No,No,01-01-2025,Low,None
288,84,SMS,Yes,No,No,01-01-2025,Low,None
289,501,Email,Yes,No,No,01-06-2025,Low,None
290,937,Email,Yes,Yes,Yes,01-09-2025,High,Solar_Interest
291,791,Email,No,No,No,01-03-2025,None,None
292,976,SMS,No,No,No,01-05-2025,None,None
293,276,Email,Yes,Yes,No,01-04-2025,Medium,None
294,395,SMS,No,No,No,01-06-2025,None,None
295,661,Email,Yes,No,No,01-02-2025,Low,None
296,931,SMS,Yes,No,No,01-05-2025,Low,None
297,717,Email,Yes,Yes,Yes,01-03-2025,High,Solar_Interest
298,496,Email,Yes,No,No,01-11-2025,Low,None
299,533,SMS,No,No,No,01-07-2025,None,None
300,115,Email,Yes,Yes,No,01-03-2025,Medium,None
301,686,Email,No,No,No,01-09-2025,None,None
302,620,SMS,No,No,No,01-11-2025,None,None
303,290,SMS,Yes,No,No,01-06-2025,Low,None
304,613,SMS,No,No,No,01-11-2025,None,None
305,276,Email,No,No,No,01-10-2025,None,None
306,36,SMS,Yes,Yes,No,01-08-2025,Medium,None
307,513,Email,No,No,No,01-11-2025,None,None
308,118,Email,Yes,No,No,01-03-2025,Low,None
309,37,SMS,Yes,No,No,01-03-2025,Low,None
310,816,SMS,No,No,No,01-05-2025,None,None
311,342,Email,Yes,Yes,No,01-04-2025,Medium,None
312,297,SMS,No,No,No,01-09-2025,None,None
313,755,Email,No,No,No,01-01-2025,None,None
314,64,SMS,No,No,No,01-08-2025,None,None
315,213,SMS,Yes,No,No,01-10-2025,Low,None
316,814,Email,Yes,Yes,No,01-05-2025,Medium,None
317,895,Email,Yes,No,No,01-12-2025,Low,None
318,806,Email,Yes,Yes,Yes,01-12-2025,High,Solar_Interest
319,865,Email,Yes,Yes,No,01-05-2025,Medium,None
320,899,SMS,Yes,No,No,01-07-2025,Low,None
321,483,Email,Yes,Yes,No,01-04-2025,Medium,None
322,58,Email,Yes,No,No,01-12-2025,Low,None
323,263,SMS,Yes,Yes,No,01-12-2025,Medium,None
324,530,SMS,No,No,No,01-01-2025,None,None
325,139,SMS,Yes,No,No,01-05-2025,Low,None
326,23,Email,No,No,No,01-06-2025,None,None
327,686,SMS,Yes,Yes,No,01-08-2025,Medium,None
328,839,Email,Yes,No,No,01-08-2025,Low,None
329,229,SMS,No,No,No,01-04-2025,None,None
330,586,SMS,Yes,No,No,01-11-2025,Low,None
331,78,SMS,Yes,No,No,01-11-2025,Low,None
332,571,Email,Yes,No,No,01-05-2025,Low,None
333,778,Email,No,No,No,01-10-2025,None,None
334,233,SMS,Yes,Yes,No,01-06-2025,Medium,None
335,685,SMS,Yes,No,No,01-07-2025,Low,None
336,67,SMS,No,No,No,01-09-2025,None,None
337,655,SMS,Yes,No,No,01-11-2025,Low,None
338,803,Email,Yes,Yes,No,01-06-2025,Medium,None
339,558,SMS,Yes,No,No,01-12-2025,Low,None
340,864,Email,Yes,No,No,01-01-2025,Low,None
341,412,SMS,No,No,No,01-11-2025,None,None
342,546,SMS,No,No,No,01-09-2025,None,None
343,279,Email,Yes,No,No,01-12-2025,Low,None
344,739,SMS,No,No,No,01-09-2025,None,None
345,273,SMS,No,No,No,01-02-2025,None,None
346,945,SMS,Yes,No,No,01-12-2025,Low,None
347,117,SMS,Yes,No,No,01-11-2025,Low,None
348,870,Email,Yes,Yes,Yes,01-12-2025,High,Solar_Interest
349,535,Email,Yes,No,No,01-12-2025,Low,None
350,399,Email,No,No,No,01-11-2025,None,None
351,804,Email,No,No,No,01-03-2025,None,None
352,174,SMS,No,No,No,01-05-2025,None,None
353,518,Email,Yes,No,No,01-04-2025,Low,None
354,871,SMS,No,No,No,01-04-2025,None,None
355,507,SMS,Yes,Yes,Yes,01-03-2025,High,Smart_Meter
356,743,SMS,No,No,No,01-02-2025,None,None
357,50,Email,Yes,Yes,No,01-12-2025,Medium,None
358,788,SMS,No,No,No,01-08-2025,None,None
359,637,SMS,Yes,No,No,01-07-2025,Low,None
360,886,Email,Yes,Yes,No,01-11-2025,Medium,None
361,589,SMS,Yes,Yes,No,01-05-2025,Medium,None
362,123,Email,Yes,Yes,No,01-09-2025,Medium,None
363,797,SMS,Yes,Yes,No,01-10-2025,Medium,None
364,365,Email,No,No,No,01-03-2025,None,None
365,364,SMS,No,No,No,01-12-2025,None,None
366,548,SMS,No,No,No,01-02-2025,None,None
367,155,Email,No,No,No,01-05-2025,None,None
368,693,Email,No,No,No,01-01-2025,None,None
369,715,Email,Yes,No,No,01-03-2025,Low,None
370,969,SMS,Yes,No,No,01-06-2025,Low,None
371,731,SMS,Yes,No,No,01-03-2025,Low,None
372,655,SMS,No,No,No,01-08-2025,None,None
373,707,SMS,Yes,No,No,01-03-2025,Low,None
374,676,SMS,No,No,No,01-05-2025,None,None
375,41,Email,No,No,No,01-05-2025,None,None
376,964,Email,No,No,No,01-07-2025,None,None
377,156,SMS,Yes,No,No,01-02-2025,Low,None
378,650,SMS,Yes,No,No,01-02-2025,Low,None
379,984,SMS,No,No,No,01-06-2025,None,None
380,981,Email,No,No,No,01-11-2025,None,None
381,515,SMS,No,No,No,01-11-2025,None,None
382,15,Email,Yes,No,No,01-07-2025,Low,None
383,351,SMS,Yes,Yes,No,01-12-2025,Medium,None
384,311,SMS,No,No,No,01-05-2025,None,None
385,897,SMS,No,No,No,01-09-2025,None,None
386,235,SMS,No,No,No,01-09-2025,None,None
387,395,SMS,No,No,No,01-02-2025,None,None
388,260,Email,No,No,No,01-06-2025,None,None
389,974,Email,Yes,No,No,01-10-2025,Low,None
390,250,SMS,Yes,Yes,No,01-10-2025,Medium,None
391,49,SMS,No,No,No,01-03-2025,None,None
392,801,Email,No,No,No,01-12-2025,None,None
393,240,SMS,Yes,No,No,01-02-2025,Low,None
394,87,SMS,Yes,Yes,No,01-05-2025,Medium,None
395,872,SMS,Yes,No,No,01-03-2025,Low,None
396,158,Email,No,No,No,01-02-2025,None,None
397,911,Email,No,No,No,01-11-2025,None,None
398,99,SMS,No,No,No,01-07-2025,None,None
399,661,Email,No,No,No,01-06-2025,None,None
400,728,Email,Yes,No,No,01-03-2025,Low,None
401,165,Email,No,No,No,01-12-2025,None,None
402,790,SMS,No,No,No,01-07-2025,None,None
403,389,Email,Yes,Yes,No,01-09-2025,Medium,None
404,778,SMS,Yes,Yes,No,01-05-2025,Medium,None
405,935,SMS,No,No,No,01-08-2025,None,None
406,979,Email,Yes,No,No,01-06-2025,Low,None
407,241,SMS,Yes,No,No,01-09-2025,Low,None
408,363,Email,Yes,Yes,No,01-02-2025,Medium,None
409,119,SMS,No,No,No,01-05-2025,None,None
410,102,Email,Yes,No,No,01-07-2025,Low,None
411,62,SMS,No,No,No,01-07-2025,None,None
412,636,SMS,Yes,No,No,01-09-2025,Low,None
413,174,Email,No,No,No,01-09-2025,None,None
414,219,Email,Yes,Yes,No,01-08-2025,Medium,None
415,873,Email,No,No,No,01-01-2025,None,None
416,393,SMS,Yes,No,No,01-02-2025,Low,None
417,6,SMS,Yes,Yes,No,01-09-2025,Medium,None
418,967,SMS,Yes,Yes,No,01-04-2025,Medium,None
419,105,Email,Yes,No,No,01-09-2025,Low,None
420,834,SMS,Yes,No,No,01-05-2025,Low,None
421,775,Email,No,No,No,01-03-2025,None,None
422,183,SMS,Yes,No,No,01-07-2025,Low,None
423,46,Email,Yes,No,No,01-06-2025,Low,None
424,259,SMS,No,No,No,01-03-2025,None,None
425,541,Email,Yes,No,No,01-09-2025,Low,None
426,555,Email,Yes,Yes,No,01-12-2025,Medium,None
427,569,Email,Yes,No,No,01-04-2025,Low,None
428,788,SMS,No,No,No,01-02-2025,None,None
429,751,Email,No,No,No,01-11-2025,None,None
430,316,SMS,Yes,No,No,01-01-2025,Low,None
431,308,SMS,No,No,No,01-04-2025,None,None
432,292,SMS,Yes,No,No,01-11-2025,Low,None
433,752,Email,Yes,Yes,Yes,01-04-2025,High,Solar_Interest
434,469,SMS,Yes,No,No,01-04-2025,Low,None
435,75,SMS,No,No,No,01-07-2025,None,None
436,701,SMS,Yes,Yes,No,01-03-2025,Medium,None
437,52,SMS,No,No,No,01-11-2025,None,None
438,689,SMS,Yes,No,No,01-03-2025,Low,None
439,609,SMS,No,No,No,01-10-2025,None,None
440,292,Email,No,No,No,01-10-2025,None,None
441,936,SMS,No,No,No,01-10-2025,None,None
442,38,Email,Yes,Yes,No,01-04-2025,Medium,None
443,369,SMS,Yes,No,No,01-11-2025,Low,None
444,428,SMS,Yes,Yes,Yes,01-05-2025,High,Smart_Meter
445,654,SMS,No,No,No,01-09-2025,None,None
446,164,SMS,No,No,No,01-02-2025,None,None
447,377,Email,No,No,No,01-12-2025,None,None
448,653,SMS,Yes,No,No,01-01-2025,Low,None
449,851,Email,No,No,No,01-11-2025,None,None
450,314,SMS,Yes,No,No,01-04-2025,Low,None
451,100,Email,Yes,No,No,01-01-2025,Low,None
452,705,SMS,Yes,No,No,01-03-2025,Low,None
453,960,SMS,No,No,No,01-05-2025,None,None
454,312,Email,Yes,Yes,Yes,01-07-2025,High,Solar_Interest
455,516,SMS,No,No,No,01-11-2025,None,None
456,812,Email,Yes,Yes,No,01-12-2025,Medium,None
457,643,SMS,Yes,No,No,01-04-2025,Low,None
458,655,Email,Yes,Yes,No,01-08-2025,Medium,None
459,243,SMS,Yes,No,No,01-05-2025,Low,None
460,872,SMS,Yes,No,No,01-12-2025,Low,None
461,809,SMS,No,No,No,01-04-2025,None,None
462,381,Email,No,No,No,01-06-2025,None,None
463,109,SMS,No,No,No,01-01-2025,None,None
464,166,Email,No,No,No,01-08-2025,None,None
465,256,Email,No,No,No,01-09-2025,None,None
466,670,SMS,Yes,No,No,01-05-2025,Low,None
467,658,SMS,Yes,Yes,No,01-10-2025,Medium,None
468,79,SMS,Yes,No,No,01-09-2025,Low,None
469,661,Email,Yes,Yes,No,01-04-2025,Medium,None
470,749,Email,Yes,Yes,No,01-05-2025,Medium,None
471,694,Email,No,No,No,01-09-2025,None,None
472,869,Email,No,No,No,01-04-2025,None,None
473,481,SMS,Yes,Yes,No,01-04-2025,Medium,None
474,766,SMS,Yes,No,No,01-11-2025,Low,None
475,182,Email,Yes,No,No,01-06-2025,Low,None
476,35,SMS,Yes,No,No,01-08-2025,Low,None
477,861,Email,Yes,No,No,01-11-2025,Low,None
478,417,Email,No,No,No,01-01-2025,None,None
479,52,SMS,Yes,No,No,01-11-2025,Low,None
480,686,SMS,Yes,Yes,Yes,01-09-2025,High,Smart_Meter
481,633,SMS,Yes,No,No,01-12-2025,Low,None
482,315,SMS,Yes,No,No,01-06-2025,Low,None
483,929,Email,Yes,No,No,01-04-2025,Low,None
484,508,Email,Yes,Yes,No,01-08-2025,Medium,None
485,370,SMS,No,No,No,01-04-2025,None,None
486,535,Email,Yes,Yes,No,01-04-2025,Medium,None
487,534,Email,Yes,No,No,01-02-2025,Low,None
488,895,SMS,Yes,Yes,No,01-07-2025,Medium,None
489,121,Email,No,No,No,01-02-2025,None,None
490,908,SMS,Yes,Yes,No,01-05-2025,Medium,None
491,6,Email,Yes,No,No,01-02-2025,Low,None
492,866,SMS,Yes,No,No,01-07-2025,Low,None
493,341,SMS,Yes,No,No,01-08-2025,Low,None
494,465,SMS,No,No,No,01-10-2025,None,None
495,845,Email,Yes,No,No,01-10-2025,Low,None
496,146,SMS,Yes,No,No,01-11-2025,Low,None
497,610,Email,No,No,No,01-10-2025,None,None
498,579,SMS,No,No,No,01-03-2025,None,None
499,208,Email,No,No,No,01-04-2025,None,None
500,924,Email,No,No,No,01-11-2025,None,None
501,198,Email,Yes,Yes,No,01-09-2025,Medium,None
502,820,Email,Yes,No,No,01-07-2025,Low,None
503,299,Email,Yes,No,No,01-05-2025,Low,None
504,968,Email,Yes,Yes,Yes,01-07-2025,High,Solar_Interest
505,472,Email,Yes,No,No,01-08-2025,Low,None
506,775,SMS,Yes,No,No,01-09-2025,Low,None
507,172,SMS,No,No,No,01-10-2025,None,None
