Ticket_ID,Customer_ID,Issue_Type,Priority,Status,Created_Date,Closed_Date,Resolution_Time_Days,Escalated_Flag,Ticket_Channel
75,714,Payment Issue,Medium,Open,17-10-2025,,,Yes,Email
76,21,Meter Problem,Low,Closed,01-11-2023,03-11-2023,2,No,Web Form
77,788,Service Outage,High,Open,04-07-2024,,,Yes,Phone
78,601,Meter Problem,Medium,Open,12-07-2025,,,Yes,Phone
79,583,Service Outage,High,Closed,26-01-2024,31-01-2024,5,Yes,Web Form
80,700,Payment Issue,High,Closed,19-11-2023,23-11-2023,4,Yes,Phone
81,498,Payment Issue,High,Closed,16-06-2025,18-06-2025,2,Yes,Phone
82,364,Billing Issue,Low,Closed,06-01-2026,11-01-2026,5,Yes,Email
83,278,General Query,Low,Open,27-06-2026,,,No,Web Form
84,643,Service Outage,High,Closed,04-08-2024,09-08-2024,5,Yes,Email
85,219,General Query,Low,Closed,12-03-2026,13-03-2026,1,No,Email
86,532,Payment Issue,Medium,Closed,24-04-2026,26-04-2026,2,No,Web Form
87,668,Payment Issue,Low,Closed,14-07-2024,17-07-2024,3,No,Web Form
88,585,Payment Issue,Medium,Closed,28-01-2026,31-01-2026,3,No,Web Form
89,882,Billing Issue,Low,Open,22-03-2025,,,Yes,Web Form
90,485,General Query,High,Closed,17-09-2024,19-09-2024,2,Yes,Phone
91,313,Meter Problem,Low,Closed,25-06-2023,29-06-2023,4,Yes,Web Form
92,914,Payment Issue,Medium,Closed,05-03-2023,09-03-2023,4,Yes,Email
93,68,Service Outage,Low,Closed,05-04-2026,10-04-2026,5,Yes,Email
94,958,Payment Issue,Low,Open,07-10-2024,,,Yes,Phone
95,31,Billing Issue,Medium,Closed,08-11-2024,09-11-2024,1,No,Email
96,746,Service Outage,Medium,Closed,01-08-2025,02-08-2025,1,No,Email
97,530,Meter Problem,Low,Open,16-08-2024,,,Yes,Phone
98,868,Payment Issue,Low,Closed,02-09-2026,04-09-2026,2,No,Email
99,6,Payment Issue,Low,Open,23-06-2025,,,Yes,Phone
100,830,Payment Issue,Low,Closed,10-11-2026,11-11-2026,1,No,Web Form
101,169,Meter Problem,Low,Open,08-04-2024,,,Yes,Email
102,785,Service Outage,Low,Closed,22-01-2023,26-01-2023,4,Yes,Phone
103,146,Meter Problem,Low,Closed,09-03-2023,10-03-2023,1,No,Email
104,638,Payment Issue,Medium,Open,10-05-2024,,,Yes,Web Form
105,248,General Query,Low,Closed,11-12-2024,15-12-2024,4,Yes,Phone
106,323,Meter Problem,Low,Open,12-01-2025,,,Yes,Phone
107,717,Meter Problem,Medium,Closed,16-01-2025,19-01-2025,3,No,Email
108,782,Payment Issue,Low,Closed,03-04-2025,04-04-2025,1,No,Email
109,254,Meter Problem,Medium,Open,03-08-2025,,,Yes,Web Form
110,475,Payment Issue,Medium,Open,24-04-2026,,,No,Email
111,30,Payment Issue,Medium,Closed,15-01-2026,17-01-2026,2,No,Email
112,37,Service Outage,Medium,Closed,19-11-2026,22-11-2026,3,No,Phone
113,608,Meter Problem,Low,Closed,21-07-2024,23-07-2024,2,No,Phone
114,931,Meter Problem,Low,Closed,26-03-2025,27-03-2025,1,No,Phone
115,3,Service Outage,Medium,Closed,25-05-2023,27-05-2023,2,No,Web Form
116,51,Billing Issue,High,Open,12-05-2023,,,Yes,Email
117,524,Meter Problem,Medium,Closed,21-02-2026,23-02-2026,2,No,Web Form
118,309,General Query,Medium,Open,28-05-2023,,,Yes,Web Form
119,374,General Query,Low,Closed,21-08-2025,22-08-2025,1,No,Phone
120,601,General Query,Medium,Closed,25-08-2024,30-08-2024,5,Yes,Email
121,500,Payment Issue,Medium,Open,08-10-2024,,,Yes,Email
122,999,Service Outage,Medium,Open,12-05-2025,,,Yes,Email
123,456,Billing Issue,High,Closed,08-03-2024,13-03-2024,5,Yes,Phone
124,706,Service Outage,Low,Closed,24-07-2025,25-07-2025,1,No,Phone
125,190,Billing Issue,Low,Closed,03-07-2025,07-07-2025,4,Yes,Email
126,95,Payment Issue,Low,Open,19-08-2023,,,Yes,Web Form
127,804,General Query,High,Closed,09-11-2024,14-11-2024,5,Yes,Web Form
128,898,Service Outage,High,Open,17-06-2024,,,Yes,Web Form
129,855,Payment Issue,High,Closed,25-04-2024,29-04-2024,4,Yes,Email
130,470,Billing Issue,High,Open,21-10-2026,,,Yes,Phone
131,204,Billing Issue,High,Closed,24-12-2026,28-12-2026,4,Yes,Web Form
132,447,General Query,High,Open,18-03-2025,,,Yes,Email
133,285,Meter Problem,Low,Open,25-10-2023,,,Yes,Phone
134,58,General Query,Medium,Open,26-12-2026,,,No,Phone
135,680,Payment Issue,Medium,Closed,24-10-2025,28-10-2025,4,Yes,Email
136,141,Billing Issue,Low,Open,07-09-2023,,,Yes,Email
137,511,Billing Issue,Medium,Closed,05-04-2026,08-04-2026,3,No,Phone
138,768,Service Outage,Medium,Closed,20-02-2025,25-02-2025,5,Yes,Web Form
139,262,Service Outage,Low,Open,17-08-2024,,,Yes,Email
140,664,Billing Issue,High,Open,15-03-2024,,,Yes,Web Form
141,416,Service Outage,High,Closed,11-05-2026,13-05-2026,2,Yes,Email
142,372,Payment Issue,Low,Open,04-12-2025,,,Yes,Phone
143,244,Service Outage,Medium,Open,02-06-2024,,,Yes,Phone
144,719,Billing Issue,High,Open,12-12-2026,,,Yes,Web Form
145,482,Meter Problem,Medium,Open,13-11-2026,,,No,Phone
146,685,Payment Issue,Medium,Closed,27-12-2024,30-12-2024,3,No,Web Form
147,416,Billing Issue,Low,Closed,12-12-2025,14-12-2025,2,No,Phone
148,678,Meter Problem,Low,Open,26-05-2024,,,Yes,Phone
149,837,General Query,High,Open,16-04-2024,,,Yes,Web Form
150,633,Payment Issue,Medium,Closed,11-01-2023,16-01-2023,5,Yes,Email
151,251,General Query,Medium,Closed,23-04-2023,27-04-2023,4,Yes,Web Form
152,690,General Query,High,Closed,02-05-2026,07-05-2026,5,Yes,Web Form
153,795,Payment Issue,Medium,Open,02-11-2025,,,Yes,Email
154,581,Service Outage,Low,Closed,25-12-2026,28-12-2026,3,No,Phone
155,214,Payment Issue,Low,Open,28-10-2025,,,Yes,Email
156,422,Meter Problem,Medium,Closed,22-01-2024,23-01-2024,1,No,Email
157,731,Service Outage,High,Closed,18-02-2023,20-02-2023,2,Yes,Web Form
158,903,Billing Issue,Low,Open,21-03-2026,,,Yes,Phone
159,483,Payment Issue,Medium,Closed,21-10-2024,26-10-2024,5,Yes,Phone
160,741,Payment Issue,Low,Open,22-04-2025,,,Yes,Web Form
161,776,Payment Issue,Medium,Closed,05-06-2025,09-06-2025,4,Yes,Web Form
162,438,Billing Issue,High,Open,21-04-2023,,,Yes,Web Form
163,469,Service Outage,High,Open,13-10-2026,,,Yes,Phone
164,371,Payment Issue,Medium,Open,27-08-2024,,,Yes,Email
165,497,Meter Problem,Low,Open,10-08-2026,,,No,Email
166,885,General Query,High,Closed,11-03-2026,14-03-2026,3,Yes,Email
167,496,Billing Issue,High,Closed,14-10-2023,19-10-2023,5,Yes,Web Form
168,256,Payment Issue,Low,Closed,09-09-2026,10-09-2026,1,No,Web Form
169,854,Meter Problem,Medium,Open,05-06-2026,,,No,Web Form
170,918,Service Outage,High,Open,18-12-2025,,,Yes,Web Form
171,776,Meter Problem,Medium,Closed,03-11-2026,04-11-2026,1,No,Web Form
172,964,Payment Issue,Medium,Open,10-05-2024,,,Yes,Phone
173,17,Billing Issue,High,Open,06-11-2024,,,Yes,Email
174,803,Meter Problem,High,Open,27-09-2023,,,Yes,Phone
175,112,Service Outage,High,Open,05-07-2026,,,Yes,Web Form
176,78,General Query,Low,Open,16-10-2023,,,Yes,Email
177,176,Billing Issue,Low,Open,10-06-2024,,,Yes,Web Form
178,805,Payment Issue,Medium,Open,03-03-2026,,,Yes,Web Form
179,884,General Query,Low,Closed,23-03-2024,24-03-2024,1,No,Web Form
180,563,General Query,High,Closed,14-06-2026,16-06-2026,2,Yes,Email
181,84,Payment Issue,Medium,Closed,24-05-2026,27-05-2026,3,No,Phone
182,703,Payment Issue,Low,Open,10-04-2024,,,Yes,Phone
183,535,General Query,Medium,Open,02-05-2025,,,Yes,Phone
184,466,Payment Issue,High,Closed,13-10-2025,14-10-2025,1,Yes,Web Form
185,160,Billing Issue,Low,Open,25-09-2023,,,Yes,Email
186,507,Billing Issue,Medium,Closed,04-02-2023,07-02-2023,3,No,Email
187,706,General Query,High,Open,12-03-2026,,,Yes,Web Form
188,1,Payment Issue,High,Open,05-02-2024,,,Yes,Web Form
189,881,Service Outage,High,Closed,20-07-2024,23-07-2024,3,Yes,Web Form
190,222,Payment Issue,Low,Closed,03-02-2024,04-02-2024,1,No,Email
191,800,Service Outage,Medium,Open,18-07-2024,,,Yes,Web Form
192,902,General Query,High,Closed,16-03-2024,19-03-2024,3,Yes,Phone
193,115,Meter Problem,High,Closed,11-05-2023,12-05-2023,1,Yes,Phone
194,39,Payment Issue,Low,Closed,09-12-2023,11-12-2023,2,No,Web Form
195,245,Billing Issue,Medium,Open,10-10-2023,,,Yes,Email
196,198,Payment Issue,High,Closed,05-06-2025,09-06-2025,4,Yes,Phone
197,828,Billing Issue,Medium,Closed,12-10-2023,13-10-2023,1,No,Web Form
198,422,Service Outage,High,Closed,20-02-2023,25-02-2023,5,Yes,Web Form
199,520,Meter Problem,Low,Closed,11-04-2025,13-04-2025,2,No,Phone
200,762,Payment Issue,Low,Open,25-07-2023,,,Yes,Email
201,50,General Query,Medium,Closed,20-03-2025,22-03-2025,2,No,Email
202,563,General Query,Medium,Closed,07-04-2024,10-04-2024,3,No,Email
203,573,Billing Issue,Low,Open,25-12-2025,,,Yes,Phone
204,75,Billing Issue,Low,Closed,01-02-2026,06-02-2026,5,Yes,Web Form
205,90,General Query,High,Open,09-12-2024,,,Yes,Phone
206,63,Billing Issue,Medium,Open,23-10-2026,,,No,Phone
207,731,Meter Problem,High,Closed,02-11-2024,05-11-2024,3,Yes,Email
208,760,General Query,Medium,Open,14-05-2026,,,No,Phone
209,211,Payment Issue,Medium,Open,24-04-2024,,,Yes,Web Form
210,880,General Query,Medium,Open,20-09-2024,,,Yes,Web Form
211,16,Billing Issue,Medium,Open,27-02-2024,,,Yes,Phone
212,273,Payment Issue,Medium,Open,09-07-2026,,,No,Email
213,867,Meter Problem,High,Closed,15-03-2023,18-03-2023,3,Yes,Email
214,654,Payment Issue,Low,Closed,27-11-2024,28-11-2024,1,No,Web Form
215,641,Billing Issue,Low,Closed,10-05-2023,14-05-2023,4,Yes,Web Form
216,393,Billing Issue,High,Closed,12-11-2024,17-11-2024,5,Yes,Email
217,142,Payment Issue,High,Open,06-02-2025,,,Yes,Email
218,732,Service Outage,Low,Closed,18-07-2025,21-07-2025,3,No,Web Form
219,333,Meter Problem,High,Open,06-11-2024,,,Yes,Email
220,621,Service Outage,Low,Closed,12-04-2026,15-04-2026,3,No,Phone
221,460,Meter Problem,Low,Closed,23-07-2026,25-07-2026,2,No,Email
222,750,General Query,High,Closed,06-03-2024,07-03-2024,1,Yes,Web Form
223,7,Service Outage,Medium,Open,14-03-2025,,,Yes,Phone
224,159,Meter Problem,Low,Closed,02-02-2026,06-02-2026,4,Yes,Web Form
225,950,Service Outage,Low,Open,23-06-2025,,,Yes,Email
226,125,General Query,Low,Open,14-12-2025,,,Yes,Email
227,173,General Query,Medium,Open,21-01-2024,,,Yes,Phone
228,165,Meter Problem,Medium,Closed,11-07-2024,15-07-2024,4,Yes,Phone
229,450,Meter Problem,Medium,Closed,11-01-2023,14-01-2023,3,No,Phone
230,512,Service Outage,Medium,Open,12-06-2026,,,No,Web Form
231,625,Meter Problem,Low,Closed,21-09-2024,24-09-2024,3,No,Email
232,137,Billing Issue,Medium,Closed,13-02-2023,15-02-2023,2,No,Web Form
233,88,Payment Issue,Low,Open,13-10-2024,,,Yes,Web Form
234,296,Billing Issue,High,Closed,19-11-2025,22-11-2025,3,Yes,Email
235,734,Service Outage,Low,Closed,09-01-2025,11-01-2025,2,No,Web Form
236,671,Meter Problem,High,Closed,04-05-2025,06-05-2025,2,Yes,Web Form
237,870,Payment Issue,Medium,Closed,26-02-2023,01-03-2023,3,No,Web Form
238,998,Meter Problem,Low,Open,24-05-2024,,,Yes,Email
239,614,Service Outage,Low,Closed,28-04-2025,29-04-2025,1,No,Web Form
240,931,Billing Issue,Low,Open,07-12-2025,,,Yes,Email
241,195,General Query,Medium,Closed,04-06-2024,09-06-2024,5,Yes,Email
242,144,General Query,High,Open,01-09-2024,,,Yes,Email
243,817,Billing Issue,High,Open,15-08-2026,,,Yes,Email
244,330,Payment Issue,Low,Open,14-07-2023,,,Yes,Web Form
245,302,General Query,High,Open,11-03-2025,,,Yes,Email
246,312,Billing Issue,High,Closed,20-10-2023,24-10-2023,4,Yes,Web Form
247,121,Service Outage,Medium,Closed,15-11-2023,20-11-2023,5,Yes,Web Form
248,972,General Query,Low,Closed,07-07-2025,09-07-2025,2,No,Web Form
249,901,General Query,High,Closed,03-03-2025,08-03-2025,5,Yes,Phone
250,308,Meter Problem,High,Open,22-03-2026,,,Yes,Email
251,668,Billing Issue,High,Closed,11-09-2023,13-09-2023,2,Yes,Email
252,740,General Query,High,Closed,11-09-2025,12-09-2025,1,Yes,Email
253,405,Service Outage,Low,Closed,15-10-2023,17-10-2023,2,No,Web Form
254,985,Meter Problem,Low,Open,18-09-2025,,,Yes,Phone
255,958,Payment Issue,Medium,Open,07-08-2026,,,No,Phone
256,667,Meter Problem,Low,Open,24-09-2026,,,No,Email
257,67,Service Outage,Low,Closed,17-03-2024,20-03-2024,3,No,Email
258,105,General Query,High,Closed,19-10-2025,20-10-2025,1,Yes,Email
259,875,Service Outage,Medium,Closed,20-01-2024,21-01-2024,1,No,Web Form
260,656,Billing Issue,Medium,Open,11-11-2024,,,Yes,Phone
261,603,Meter Problem,High,Open,13-02-2025,,,Yes,Phone
262,136,Service Outage,High,Closed,28-09-2026,02-10-2026,4,Yes,Email
263,240,General Query,Low,Closed,08-05-2025,12-05-2025,4,Yes,Web Form
264,308,Billing Issue,Low,Closed,21-09-2024,24-09-2024,3,No,Phone
265,413,Service Outage,Medium,Closed,17-05-2023,19-05-2023,2,No,Phone
266,292,Service Outage,High,Closed,06-06-2024,11-06-2024,5,Yes,Web Form
267,145,General Query,High,Closed,28-01-2023,29-01-2023,1,Yes,Phone
268,153,Service Outage,Medium,Closed,07-01-2025,12-01-2025,5,Yes,Web Form
269,881,Meter Problem,High,Open,09-12-2023,,,Yes,Web Form
270,583,Billing Issue,Medium,Open,07-03-2023,,,Yes,Web Form
271,40,Service Outage,Medium,Open,17-01-2026,,,Yes,Phone
272,187,Billing Issue,High,Open,14-07-2026,,,Yes,Phone
273,587,Meter Problem,High,Closed,15-06-2023,18-06-2023,3,Yes,Web Form
274,681,Meter Problem,Low,Closed,15-10-2023,17-10-2023,2,No,Phone
275,85,Meter Problem,Medium,Closed,28-05-2026,01-06-2026,4,Yes,Email
276,448,Meter Problem,Medium,Closed,05-05-2024,09-05-2024,4,Yes,Email
277,447,Service Outage,Medium,Open,25-06-2025,,,Yes,Email
278,745,Billing Issue,High,Closed,19-01-2023,24-01-2023,5,Yes,Phone
279,803,General Query,High,Open,14-01-2026,,,Yes,Email
280,963,Payment Issue,High,Open,07-09-2023,,,Yes,Web Form
281,386,Payment Issue,Low,Closed,27-05-2024,29-05-2024,2,No,Web Form
282,150,Meter Problem,High,Open,14-08-2026,,,Yes,Phone
283,860,Service Outage,Low,Open,26-06-2025,,,Yes,Email
284,253,Meter Problem,Medium,Closed,27-09-2026,29-09-2026,2,No,Email
285,204,Billing Issue,Medium,Closed,03-10-2026,04-10-2026,1,No,Email
286,932,Service Outage,Medium,Open,18-10-2025,,,Yes,Web Form
287,930,General Query,Low,Open,14-08-2025,,,Yes,Phone
288,310,Service Outage,Medium,Closed,12-09-2023,15-09-2023,3,No,Phone
289,617,Payment Issue,High,Open,14-05-2023,,,Yes,Web Form
290,207,General Query,Medium,Closed,11-04-2023,14-04-2023,3,No,Web Form
291,477,Billing Issue,High,Open,11-05-2025,,,Yes,Email
292,658,Service Outage,Medium,Closed,08-05-2026,11-05-2026,3,No,Web Form
293,536,General Query,Low,Closed,15-11-2024,20-11-2024,5,Yes,Phone
294,895,Service Outage,Medium,Closed,18-03-2026,19-03-2026,1,No,Web Form
295,450,General Query,Medium,Open,23-12-2023,,,Yes,Phone
296,100,Meter Problem,High,Closed,10-10-2025,15-10-2025,5,Yes,Email
297,998,Billing Issue,Low,Closed,10-02-2026,12-02-2026,2,No,Email
298,895,Billing Issue,Low,Closed,22-05-2024,26-05-2024,4,Yes,Phone
299,123,General Query,Medium,Closed,19-05-2025,21-05-2025,2,No,Email
300,26,Meter Problem,Medium,Closed,09-03-2024,10-03-2024,1,No,Web Form
301,194,General Query,Low,Closed,15-11-2024,19-11-2024,4,Yes,Email
302,480,Meter Problem,Medium,Open,08-05-2024,,,Yes,Email
303,351,Billing Issue,Low,Closed,21-05-2026,25-05-2026,4,Yes,Web Form
304,222,Billing Issue,Low,Open,26-08-2026,,,No,Web Form
305,895,Meter Problem,Low,Closed,07-07-2023,10-07-2023,3,No,Phone
306,643,Meter Problem,Medium,Closed,19-09-2025,24-09-2025,5,Yes,Email
307,662,Service Outage,High,Open,02-04-2024,,,Yes,Phone
308,932,Billing Issue,Low,Closed,08-07-2026,10-07-2026,2,No,Email
309,898,Service Outage,Low,Closed,24-10-2023,28-10-2023,4,Yes,Web Form
310,951,General Query,Medium,Closed,15-03-2026,19-03-2026,4,Yes,Phone
311,621,Meter Problem,Low,Closed,17-01-2025,20-01-2025,3,No,Phone
312,794,Service Outage,High,Open,16-10-2024,,,Yes,Web Form
313,174,General Query,High,Open,24-01-2024,,,Yes,Phone
314,577,Billing Issue,Low,Open,09-10-2023,,,Yes,Web Form
315,58,General Query,High,Open,25-06-2026,,,Yes,Phone
316,7,General Query,High,Closed,17-12-2024,22-12-2024,5,Yes,Web Form
317,340,Service Outage,Low,Closed,13-07-2025,17-07-2025,4,Yes,Phone
318,557,Payment Issue,Medium,Closed,14-08-2025,19-08-2025,5,Yes,Web Form
319,686,General Query,High,Open,07-10-2026,,,Yes,Phone
320,210,Billing Issue,Medium,Closed,28-12-2023,30-12-2023,2,No,Web Form
321,290,Service Outage,Medium,Open,07-07-2026,,,No,Phone
322,924,Payment Issue,Low,Closed,17-10-2025,20-10-2025,3,No,Email
323,208,Meter Problem,High,Closed,28-12-2025,02-01-2026,5,Yes,Email
324,961,Meter Problem,Low,Open,03-04-2024,,,Yes,Email
325,426,General Query,Medium,Open,14-08-2024,,,Yes,Phone
326,783,Payment Issue,High,Open,03-06-2025,,,Yes,Email
327,826,General Query,Medium,Closed,26-01-2023,30-01-2023,4,Yes,Email
328,109,Billing Issue,High,Open,22-05-2023,,,Yes,Phone
329,436,General Query,Low,Closed,17-07-2026,22-07-2026,5,Yes,Phone
330,167,Service Outage,High,Closed,01-11-2025,06-11-2025,5,Yes,Phone
331,663,Meter Problem,High,Closed,21-07-2023,26-07-2023,5,Yes,Phone
332,686,Billing Issue,Low,Closed,08-05-2025,13-05-2025,5,Yes,Email
333,202,General Query,Low,Closed,24-03-2026,29-03-2026,5,Yes,Phone
334,575,Billing Issue,High,Open,09-07-2025,,,Yes,Email
335,333,Meter Problem,Low,Closed,19-05-2024,20-05-2024,1,No,Phone
336,517,Service Outage,Medium,Closed,23-01-2026,26-01-2026,3,No,Phone
337,415,Service Outage,Medium,Open,10-10-2023,,,Yes,Web Form
338,566,Service Outage,High,Closed,16-02-2024,17-02-2024,1,Yes,Phone
339,326,Service Outage,Medium,Closed,26-08-2025,31-08-2025,5,Yes,Web Form
340,215,Payment Issue,Low,Closed,20-08-2026,22-08-2026,2,No,Web Form
341,829,General Query,Low,Closed,03-11-2024,07-11-2024,4,Yes,Phone
342,143,Meter Problem,Low,Open,25-03-2024,,,Yes,Phone
343,731,General Query,Low,Closed,26-01-2024,31-01-2024,5,Yes,Phone
344,512,Billing Issue,High,Open,08-04-2026,,,Yes,Web Form
345,576,General Query,High,Open,16-08-2024,,,Yes,Web Form
346,607,Meter Problem,High,Closed,03-10-2026,06-10-2026,3,Yes,Web Form
347,501,Payment Issue,Medium,Closed,20-01-2024,24-01-2024,4,Yes,Email
348,629,Billing Issue,High,Open,11-04-2026,,,Yes,Email
349,884,Meter Problem,High,Closed,13-05-2025,17-05-2025,4,Yes,Phone
350,642,Meter Problem,Low,Closed,13-04-2024,14-04-2024,1,No,Web Form
351,191,Billing Issue,Medium,Open,12-12-2024,,,Yes,Email
352,955,Billing Issue,Medium,Open,02-10-2026,,,No,Email
353,689,Meter Problem,Low,Open,13-11-2024,,,Yes,Phone
354,836,Service Outage,High,Open,21-03-2023,,,Yes,Phone
355,308,Meter Problem,Low,Closed,10-12-2026,13-12-2026,3,No,Phone
356,386,Payment Issue,Medium,Open,27-11-2024,,,Yes,Email
357,167,Meter Problem,High,Closed,07-10-2023,08-10-2023,1,Yes,Email
358,551,Payment Issue,Medium,Closed,10-09-2026,13-09-2026,3,No,Phone
359,638,Service Outage,Medium,Closed,10-01-2025,13-01-2025,3,No,Web Form
360,617,Meter Problem,High,Closed,11-08-2025,16-08-2025,5,Yes,Email
361,865,Payment Issue,Medium,Closed,21-04-2026,24-04-2026,3,No,Email
362,895,Service Outage,Low,Open,19-10-2024,,,Yes,Web Form
363,603,General Query,Low,Closed,04-02-2026,09-02-2026,5,Yes,Web Form
364,853,Billing Issue,High,Closed,15-08-2026,18-08-2026,3,Yes,Phone
365,398,Billing Issue,High,Closed,12-01-2025,15-01-2025,3,Yes,Phone
366,366,General Query,High,Open,17-04-2026,,,Yes,Web Form
367,847,Meter Problem,High,Open,16-05-2025,,,Yes,Email
368,667,Billing Issue,Low,Open,28-07-2025,,,Yes,Web Form
369,297,Payment Issue,Low,Open,21-08-2023,,,Yes,Phone
370,716,Billing Issue,Low,Open,22-05-2023,,,Yes,Email
371,138,General Query,High,Open,24-11-2026,,,Yes,Phone
372,948,Billing Issue,Low,Open,08-05-2023,,,Yes,Web Form
373,626,Meter Problem,Low,Closed,19-03-2025,20-03-2025,1,No,Web Form
